Peer IP,Direction,Destination Port
152.67.141.210,Sent,17472
192.168.2.12,Sent,389
192.168.2.12,Sent,53
146.75.74.172,Sent,80
192.168.2.13,Sent,53
185.160.60.100,Sent,80
2.16.153.11,Sent,80
20.165.94.63,Sent,443
74.178.240.61,Sent,443
52.149.20.212,Sent,443
65.55.252.93,Sent,443
91.81.129.181,Sent,80
2.16.153.13,Sent,80
104.78.173.167,Sent,80
20.190.159.71,Sent,443
217.20.56.98,Sent,80
20.12.23.50,Sent,443
74.178.76.128,Sent,443
40.126.32.76,Sent,443
91.80.49.85,Sent,80
151.101.190.172,Sent,80
104.78.173.45,Sent,80
54.67.119.89,Sent,443
40.126.32.68,Sent,443
52.8.141.1,Sent,443
54.67.114.188,Sent,443
