Peer IP,Direction,Destination Port
131.111.8.60,Sent,123
152.67.141.210,Sent,17472
172.66.0.26,Sent,443
95.131.83.40,Sent,123
213.5.132.231,Sent,123
178.215.228.24,Sent,123
162.159.140.26,Sent,443
209.132.178.16,Sent,443
95.101.84.251,Sent,443
165.225.197.252,Sent,443
169.254.169.254,Sent,80
165.225.197.253,Sent,443
54.183.120.141,Sent,443
193.0.14.129,Sent,53
192.112.36.4,Sent,53
199.7.83.42,Sent,53
165.225.197.251,Sent,443
165.225.17.239,Sent,443
192.33.4.12,Sent,53
192.5.5.241,Sent,53
199.9.14.201,Sent,53
165.225.197.254,Sent,443
165.225.17.240,Sent,443
165.225.17.242,Sent,443
13.56.121.58,Sent,443
54.67.122.238,Sent,443
