Peer IP,Direction,Destination Port
10.0.1.20,Sent,53
192.168.4.102,Sent,53
10.0.129.20,Sent,53
192.168.4.102,Received,55535
192.168.4.102,Received,53661
192.168.4.102,Received,55551
192.168.4.102,Received,55996
192.168.4.102,Received,63906
192.168.4.102,Received,55946
192.168.4.102,Received,57521
192.168.4.102,Received,59584
192.168.4.102,Received,51665
192.168.4.102,Received,64050
192.168.4.102,Received,50011
192.168.4.102,Received,58019
192.168.4.102,Received,64470
192.168.4.102,Received,61902
192.168.4.102,Received,63071
192.168.4.102,Received,54773
192.168.4.102,Received,51923
192.168.4.102,Received,55445
192.168.4.102,Received,49826
192.168.4.102,Received,63626
192.168.4.102,Received,63531
192.168.4.102,Received,55626
192.168.4.102,Received,54388
192.168.4.102,Received,59727
192.168.4.102,Received,63826
192.168.4.102,Received,60377
192.168.4.102,Received,61057
192.168.4.102,Received,55800
192.168.4.102,Received,57921
192.168.4.102,Received,63861
192.168.4.102,Received,50359
192.168.4.102,Received,53988
192.168.4.102,Received,49634
192.168.4.102,Received,51225
192.168.4.102,Received,62025
192.168.4.102,Received,63934
192.168.4.102,Received,49530
192.168.4.102,Received,50443
192.168.4.102,Received,61933
192.168.4.102,Received,56561
192.168.4.102,Received,60419
192.168.4.102,Received,51039
192.168.4.102,Received,60950
192.168.4.102,Received,60896
192.168.4.102,Received,55268
192.168.4.102,Received,64831
192.168.4.102,Received,55713
192.168.4.102,Received,50937
192.168.4.102,Received,65131
192.168.4.102,Received,63544
192.168.4.102,Received,61033
192.168.4.102,Received,52181
192.168.4.102,Received,56193
192.168.4.102,Received,50491
192.168.4.102,Received,57023
192.168.4.102,Received,52877
192.168.4.102,Received,63250
192.168.4.102,Received,50507
192.168.4.102,Received,53621
192.168.4.102,Received,60573
192.168.4.102,Received,52900
192.168.4.102,Received,56428
192.168.4.102,Received,58935
192.168.4.102,Received,53741
192.168.4.102,Received,65450
192.168.4.102,Received,63709
192.168.4.102,Received,53293
192.168.4.102,Received,61651
192.168.4.102,Received,54723
192.168.4.102,Received,61308
192.168.4.102,Received,64058
192.168.4.102,Received,65383
192.168.4.102,Received,52872
192.168.4.102,Received,63007
192.168.4.102,Received,52732
192.168.4.102,Received,50022
192.168.4.102,Received,62848
192.168.4.102,Received,64780
192.168.4.102,Received,58694
192.168.4.102,Received,55492
192.168.4.102,Received,51099
192.168.4.102,Received,52703
192.168.4.102,Received,52111
192.168.4.102,Received,64431
192.168.4.102,Received,52354
192.168.4.102,Received,61479
192.168.4.102,Received,53034
192.168.4.102,Received,50972
192.168.4.102,Received,58040
192.168.4.102,Received,53528
192.168.4.102,Received,64349
192.168.4.102,Received,63810
192.168.4.102,Received,58511
192.168.4.102,Received,60520
192.168.4.102,Received,63003
192.168.4.102,Received,64734
192.168.4.102,Received,50428
192.168.4.102,Received,59682
192.168.4.102,Received,61772
192.168.4.102,Received,56153
192.168.4.102,Received,50188
192.168.4.102,Received,52251
192.168.4.102,Received,61834
192.168.4.102,Received,63885
192.168.4.102,Received,53634
192.168.4.102,Received,64837
192.168.4.102,Received,54159
192.168.4.102,Received,64687
192.168.4.102,Received,58760
192.168.4.102,Received,51293
192.168.4.102,Received,61230
192.168.4.102,Received,60182
192.168.4.102,Received,50839
192.168.4.102,Received,58896
192.168.4.102,Received,54225
192.168.4.102,Received,59302
192.168.4.102,Received,52348
192.168.4.102,Received,50970
192.168.4.102,Received,55954
