Peer IP,Direction,Destination Port
192.168.4.102,Sent,53
10.0.1.20,Sent,53
10.0.129.20,Sent,53
192.168.4.102,Received,55535
192.168.4.102,Received,56563
192.168.4.102,Received,57420
192.168.4.102,Received,61646
192.168.4.102,Received,54458
192.168.4.102,Received,55946
192.168.4.102,Received,57521
192.168.4.102,Received,59798
192.168.4.102,Received,62700
192.168.4.102,Received,53213
192.168.4.102,Received,64050
192.168.4.102,Received,63782
192.168.4.102,Received,65004
192.168.4.102,Received,58019
192.168.4.102,Received,57459
192.168.4.102,Received,61902
192.168.4.102,Received,65268
192.168.4.102,Received,55590
192.168.4.102,Received,59735
192.168.4.102,Received,63545
192.168.4.102,Received,62435
192.168.4.102,Received,59616
192.168.4.102,Received,55445
192.168.4.102,Received,62764
192.168.4.102,Received,61947
192.168.4.102,Received,61171
192.168.4.102,Received,56033
192.168.4.102,Received,63421
192.168.4.102,Received,60319
192.168.4.102,Received,59828
192.168.4.102,Received,62485
192.168.4.102,Received,64208
192.168.4.102,Received,55371
192.168.4.102,Received,53920
192.168.4.102,Received,60509
192.168.4.102,Received,60377
192.168.4.102,Received,52760
192.168.4.102,Received,52795
192.168.4.102,Received,50596
192.168.4.102,Received,63861
192.168.4.102,Received,62340
192.168.4.102,Received,50359
192.168.4.102,Received,50219
192.168.4.102,Received,61000
192.168.4.102,Received,49759
192.168.4.102,Received,49634
192.168.4.102,Received,50355
192.168.4.102,Received,51225
192.168.4.102,Received,62025
192.168.4.102,Received,49530
192.168.4.102,Received,58895
192.168.4.102,Received,56045
192.168.4.102,Received,56882
192.168.4.102,Received,53369
192.168.4.102,Received,56561
192.168.4.102,Received,57721
192.168.4.102,Received,54803
192.168.4.102,Received,64147
192.168.4.102,Received,55713
192.168.4.102,Received,51005
192.168.4.102,Received,54269
192.168.4.102,Received,58395
192.168.4.102,Received,65333
192.168.4.102,Received,62457
192.168.4.102,Received,52751
192.168.4.102,Received,64928
192.168.4.102,Received,65131
192.168.4.102,Received,63544
192.168.4.102,Received,58129
192.168.4.102,Received,61033
192.168.4.102,Received,51231
192.168.4.102,Received,62000
192.168.4.102,Received,57375
192.168.4.102,Received,54857
192.168.4.102,Received,49896
192.168.4.102,Received,63612
192.168.4.102,Received,57023
192.168.4.102,Received,63250
192.168.4.102,Received,63026
192.168.4.102,Received,56516
192.168.4.102,Received,52197
192.168.4.102,Received,58474
192.168.4.102,Received,56428
192.168.4.102,Received,58935
192.168.4.102,Received,49919
192.168.4.102,Received,53446
192.168.4.102,Received,50478
192.168.4.102,Received,61651
192.168.4.102,Received,64816
192.168.4.102,Received,60309
192.168.4.102,Received,59809
192.168.4.102,Received,56259
192.168.4.102,Received,62353
192.168.4.102,Received,57889
192.168.4.102,Received,59917
192.168.4.102,Received,52349
192.168.4.102,Received,53797
192.168.4.102,Received,58655
