Peer IP,Direction,Destination Port
99.83.237.20,Sent,443
13.107.246.64,Sent,443
3.11.161.200,Sent,443
52.168.117.174,Sent,443
46.236.11.78,Sent,443
192.168.2.12,Sent,80
192.168.2.12,Sent,445
192.168.9.223,Sent,80
142.250.9.188,Sent,443
192.168.0.0,Sent,80
192.168.2.13,Sent,80
146.75.74.172,Sent,80
75.2.101.69,Sent,443
18.245.143.5,Sent,443
3.33.220.55,Sent,443
176.34.66.104,Sent,443
20.42.65.90,Sent,443
2.23.221.196,Sent,443
72.154.7.104,Sent,443
20.44.239.154,Sent,443
40.119.249.228,Sent,443
2.23.204.9,Sent,443
13.107.5.91,Sent,443
72.154.7.103,Sent,443
13.69.239.73,Sent,443
35.71.166.34,Sent,443
18.245.143.23,Sent,443
18.245.143.93,Sent,443
54.73.18.116,Sent,443
20.189.173.9,Sent,443
2.16.153.13,Sent,80
104.208.16.88,Sent,443
92.123.128.193,Sent,443
18.245.143.22,Sent,443
20.189.173.8,Sent,443
142.251.15.94,Sent,443
216.239.36.223,Sent,443
20.42.73.25,Sent,443
20.44.10.122,Sent,443
20.42.65.91,Sent,443
52.167.249.196,Sent,443
52.168.117.171,Sent,443
92.123.128.181,Sent,443
185.160.60.100,Sent,80
104.208.16.89,Sent,443
52.140.118.28,Sent,443
20.189.173.1,Sent,443
54.154.76.59,Sent,443
52.167.17.97,Sent,443
15.197.229.100,Sent,443
40.79.173.41,Sent,443
13.89.179.11,Sent,443
216.239.32.223,Sent,443
52.149.20.212,Sent,443
13.95.31.18,Sent,443
20.189.173.18,Sent,443
2.23.220.162,Sent,443
142.250.117.94,Sent,80
104.78.173.167,Sent,80
52.223.27.83,Sent,443
20.50.80.214,Sent,443
92.123.128.163,Sent,443
217.20.56.99,Sent,80
52.178.17.2,Sent,443
51.11.168.232,Sent,443
20.189.173.14,Sent,443
20.72.205.209,Sent,443
13.71.55.58,Sent,443
20.3.187.198,Sent,443
51.104.15.252,Sent,443
13.89.179.10,Sent,443
72.154.7.101,Sent,443
91.80.49.85,Sent,80
172.169.87.222,Sent,443
150.171.22.17,Sent,443
20.189.173.4,Sent,443
20.42.72.131,Sent,443
10.239.61.165,Sent,443
10.239.61.95,Sent,443
10.239.61.42,Sent,443
20.42.65.89,Sent,443
20.189.173.23,Sent,443
20.49.150.241,Sent,443
13.78.111.199,Sent,443
142.250.140.94,Sent,443
142.250.140.94,Sent,80
92.123.128.192,Sent,443
52.185.211.133,Sent,443
20.190.159.0,Sent,443
52.191.219.104,Sent,443
20.190.159.128,Sent,443
74.178.240.61,Sent,443
13.85.23.206,Sent,443
13.79.163.91,Sent,443
72.145.35.111,Sent,443
151.101.190.172,Sent,80
23.219.197.79,Sent,443
51.132.193.105,Sent,443
51.105.71.137,Sent,443
52.182.143.213,Sent,443
13.89.178.26,Sent,443
20.189.173.24,Sent,443
51.116.253.169,Sent,443
92.123.128.139,Sent,443
52.182.143.214,Sent,443
20.42.65.94,Sent,443
40.126.32.74,Sent,443
13.69.239.78,Sent,443
104.208.16.91,Sent,443
52.137.106.217,Sent,443
20.189.173.10,Sent,443
20.106.86.13,Sent,443
92.123.128.186,Sent,443
20.190.160.64,Sent,443
20.42.73.27,Sent,443
52.183.220.149,Sent,443
216.239.38.223,Sent,443
20.223.35.26,Sent,443
20.190.160.22,Sent,443
20.189.173.11,Sent,443
20.42.65.88,Sent,443
52.252.28.242,Sent,443
