EMIS_SVR_ScannerX,192.168.4.248
EMIS_SVR_UK-WTMA00PRN001,192.168.4.210
QATestMachine07,192.168.2.190
QATestMachine01,192.168.5.11
RX_PC_TD_ProScript_Wales_V1-WFDWS196,192.168.14.26
RXS_SVR_BARCELONA,192.168.14.16
RXS_SVR_DEV_SERV_2-RXDEVSERV2,192.168.14.37
RXS_SVR_Mexico,192.168.4.160
RXS_SVR_TFS-Build01,192.168.4.171
RXS_SVR_TFS-Build02,192.168.4.207
RXS_SVR_TFS-Build03,192.168.4.206
RXS_SVR_TFS_TEST_DB1,192.168.4.162
RXS_SVR_WTRXACS_V1,10.14.254.37
RXS_SVR_WTRXAPP004,192.168.4.156
RXS_SVR_WTRXAPP020,192.168.4.187
RXS_SVR_WTRXCACTI,10.14.254.41
RXS_SVR_WTRXDevSvrTest001,192.168.4.205
RXS_SVR_WTRXDevSvrVSS001,192.168.4.204
RXS_SVR_WTRXITSVR001,192.168.4.200
RXS_SVR_WTRXLIC001,192.168.4.159
RXS_SVR_WTRXPSCSD001,192.168.5.134
RXS_SVR_WTRXPSCTRNG001,192.168.5.127
RXS_SVR_WTRXSUPRDS001,192.168.4.161
RXS_SVR_WTRXTEST001,192.168.4.170
RXS_SVR_WTRXTEST002,192.168.5.8
UK-WTMA00DBS001,192.168.5.33
UK-WTMA00DC-003,192.168.4.102
UK-WTMA00DC-004,192.168.4.103
UK-WTMA00DDE001,192.168.5.211
UK-WTMA00DEP164,192.168.5.48
UK-WTMA00EXA001,192.168.5.40
UK-WTMA00EXA002,192.168.5.4
UK-WTMA00WUS016,192.168.4.105
UK-WTMA00ZAB001,192.168.5.41
UK-WTMA00ZSC001,192.168.4.240
UK-WTMA00ZSC002,192.168.4.241
UK-WTMA02PKB198,192.168.5.52
UK-WTMA04DC-001,192.168.5.13
UK-WTMA04DC-002,192.168.2.12
UK-WTMA04DC-003,192.168.2.11
UK-WTMA04SHE001,192.168.4.67
Watford_vCenter_Appliance,192.168.4.33
WQAHVD-PSENG001,192.168.2.106
WQAHVD-PSSCO001,10.8.128.14
WQAHVD-PSSCO002,192.168.2.69
WQAHVD-PSSCO003,192.168.5.26
WQAHVK-CenRep02,192.168.2.75
WQAHVK-PSC7E001,192.168.2.74
WQAHVK-PSC7S001,192.168.2.118
WQAHVK-PSC7W001,192.168.2.69
WQAHVK-PSCAUTO04,192.168.5.35
WQAHVK-PSCAUTO06,192.168.5.25
WQAHVK-PSCE001,192.168.2.124
WQAHVK-PSCS001,192.168.5.27
WQAHVK-PSCW001,192.168.5.36
WTRXPSCTEST001,192.168.2.70
WTRXSonarQube01,192.168.4.107
UK-RPMA04DC-001,192.168.9.223
RDRXITSVR02,192.168.9.211
RDRXDTVSEN1,192.168.9.180
RDRXDTVSEN2,192.168.9.181
RDRXDTVSEN3,192.168.9.182
RDRXDTVSEN4,192.168.9.183
ORLANDO,192.168.15.40
RDRXSFTP001,192.168.15.36
DBRDRXMLTDB01,192.168.9.80
RDRXMLTDB02,192.168.9.81
RDRXMLTWEB01,192.168.15.38
RDRXCLDB001,192.168.9.115
Singapore,192.168.15.13
RXS_SVR_IT08,192.168.9.141
RDRXCDUpdate,192.168.9.140
RDGVD218,192.168.9.89
vcentre2,192.168.9.33
ReadVMHost3,192.168.9.234
ReadVMHost4,192.168.9.235
ReadVMHost5,192.168.9.236
ReadVMHost6,192.168.9.237









