Peer IP,Direction,Destination Port
10.10.163.160,Sent,443
192.168.9.33,Sent,443
10.21.66.139,Sent,443
142.250.117.94,Sent,443
10.8.4.82,Sent,443
4.234.136.149,Sent,443
152.67.141.210,Sent,17472
66.235.152.212,Sent,443
155.231.216.15,Sent,443
142.251.15.103,Sent,443
192.168.147.179,Sent,445
142.251.15.147,Sent,443
142.251.15.99,Sent,443
20.166.40.66,Sent,443
172.202.65.10,Sent,443
10.14.254.37,Sent,443
10.8.7.138,Sent,443
10.21.66.229,Sent,443
74.125.136.95,Sent,443
142.251.15.104,Sent,443
54.73.18.116,Sent,443
10.21.78.251,Sent,443
142.250.129.95,Sent,443
142.251.30.105,Sent,443
131.145.74.35,Sent,443
23.100.122.113,Sent,443
10.12.25.115,Sent,443
10.8.23.61,Sent,443
10.14.254.41,Sent,80
142.251.30.106,Sent,443
192.168.9.223,Sent,445
192.168.2.12,Sent,53
192.168.2.12,Sent,445
192.168.2.13,Sent,445
4.234.148.56,Sent,443
100.112.45.36,Sent,1433
40.117.80.207,Sent,443
20.50.65.88,Sent,443
91.80.49.20,Sent,80
2.19.169.32,Sent,80
142.251.30.99,Sent,443
142.251.30.103,Sent,443
10.2.0.192,Sent,443
34.104.35.123,Sent,80
176.34.66.104,Sent,443
74.125.21.95,Sent,443
142.251.15.94,Sent,443
10.2.0.6,Sent,443
142.251.29.95,Sent,443
23.204.232.117,Sent,443
104.78.173.167,Sent,80
184.50.114.163,Sent,443
10.2.0.36,Sent,443
142.250.117.95,Sent,443
64.233.177.95,Sent,443
173.194.219.95,Sent,443
64.233.177.138,Sent,443
64.233.185.95,Sent,443
172.202.64.10,Sent,443
192.168.9.115,Sent,49169
192.168.9.115,Sent,3389
192.168.9.115,Sent,49671
192.168.9.115,Sent,135
192.168.9.115,Sent,1434
142.251.30.147,Sent,443
10.2.0.140,Sent,443
108.177.122.95,Sent,443
10.2.0.13,Sent,443
23.37.196.205,Sent,443
184.50.114.161,Sent,443
184.50.114.161,Sent,80
142.250.105.94,Sent,443
217.20.56.98,Sent,80
173.222.13.40,Sent,80
142.250.140.94,Sent,443
142.250.140.94,Sent,80
10.2.0.19,Sent,443
10.12.29.198,Sent,443
52.30.245.149,Sent,443
104.77.160.196,Sent,443
64.233.177.101,Sent,443
45.60.34.37,Sent,443
66.235.152.163,Sent,443
10.21.74.49,Sent,443
10.44.36.118,Sent,31418
104.77.160.220,Sent,443
172.66.0.26,Sent,443
66.235.152.111,Sent,443
10.21.74.50,Sent,443
64.233.176.95,Sent,443
10.12.3.76,Sent,443
142.250.151.154,Sent,443
10.21.79.107,Sent,443
154.52.13.204,Sent,443
20.44.10.122,Sent,443
142.250.187.234,Sent,443
64.233.177.100,Sent,443
74.125.138.95,Sent,443
52.98.224.146,Sent,443
64.233.176.94,Sent,80
142.251.30.113,Sent,443
10.253.113.73,Sent,5900
142.251.15.95,Sent,443
20.166.40.71,Sent,443
172.217.215.95,Sent,443
142.251.30.138,Sent,443
40.99.150.178,Sent,443
10.207.118.238,Sent,443
13.107.246.64,Sent,443
52.109.28.46,Sent,80
52.109.28.1,Sent,443
216.239.32.36,Sent,443
52.168.117.170,Sent,443
142.251.30.101,Sent,443
54.246.205.166,Sent,443
74.125.133.188,Sent,443
52.30.222.118,Sent,443
150.171.22.17,Sent,443
104.208.16.88,Sent,443
20.190.160.5,Sent,443
149.111.148.45,Sent,443
100.112.34.6,Sent,443
100.112.34.140,Sent,445
52.168.117.168,Sent,443
54.194.31.206,Sent,443
104.77.160.205,Sent,443
192.168.82.131,Sent,3389
54.72.33.44,Sent,443
64.233.177.188,Sent,443
184.50.114.160,Sent,443
184.50.114.160,Sent,80
13.89.179.10,Sent,443
52.98.207.50,Sent,443
52.109.88.66,Sent,443
52.109.28.17,Sent,443
64.233.184.188,Sent,443
10.253.232.199,Sent,5900
108.177.15.188,Sent,443
100.112.34.142,Sent,445
100.112.34.138,Sent,445
162.159.140.26,Sent,443
100.112.34.133,Sent,445
172.169.87.222,Sent,443
204.79.197.243,Sent,443
20.190.160.64,Sent,443
40.126.32.138,Sent,443
52.49.20.80,Sent,443
18.244.164.81,Sent,443
85.210.194.18,Sent,443
54.170.153.208,Sent,443
40.126.31.2,Sent,443
100.112.34.141,Sent,445
100.112.34.132,Sent,445
192.168.15.40,Sent,279
192.168.15.40,Sent,268
192.168.15.40,Sent,306
192.168.15.40,Sent,269
192.168.15.40,Sent,295
192.168.15.40,Sent,308
192.168.15.40,Sent,280
192.168.15.40,Sent,281
192.168.15.40,Sent,290
192.168.15.40,Sent,283
192.168.15.40,Sent,307
192.168.15.40,Sent,270
192.168.15.40,Sent,293
192.168.15.40,Sent,286
192.168.15.40,Sent,272
192.168.15.40,Sent,304
192.168.15.40,Sent,294
192.168.15.40,Sent,297
192.168.15.40,Sent,296
192.168.15.40,Sent,303
192.168.15.40,Sent,267
192.168.15.40,Sent,300
192.168.15.40,Sent,445
192.168.15.40,Sent,299
192.168.15.40,Sent,274
192.168.15.40,Sent,289
192.168.15.40,Sent,298
192.168.15.40,Sent,285
192.168.15.40,Sent,273
192.168.15.40,Sent,305
192.168.15.40,Sent,271
192.168.15.40,Sent,282
192.168.15.40,Sent,284
100.112.34.147,Sent,445
100.112.37.38,Sent,445
192.168.9.85,Sent,301
192.168.9.85,Sent,288
192.168.9.85,Sent,276
192.168.9.85,Sent,302
192.168.9.85,Sent,275
192.168.9.85,Sent,287
192.168.9.85,Sent,445
192.168.2.36,Sent,139
192.168.2.36,Sent,445
20.165.94.63,Sent,443
104.18.36.169,Sent,443
184.50.114.169,Sent,443
192.0.73.2,Sent,443
20.57.85.160,Sent,443
23.48.165.26,Sent,443
2.23.205.243,Sent,443
104.18.32.47,Sent,443
142.251.30.100,Sent,443
52.178.17.233,Sent,443
52.168.117.174,Sent,443
54.171.217.71,Sent,443
52.209.119.255,Sent,443
18.202.102.159,Sent,443
184.50.114.162,Sent,443
146.75.73.137,Sent,443
192.0.77.2,Sent,443
13.111.240.25,Sent,443
163.70.147.35,Sent,443
185.160.60.100,Sent,80
37.252.172.123,Sent,443
95.100.104.6,Sent,443
20.190.160.131,Sent,443
40.126.32.134,Sent,443
35.84.172.197,Sent,443
2.23.205.82,Sent,443
23.37.198.101,Sent,443
40.126.32.140,Sent,443
150.171.22.12,Sent,443
20.50.73.11,Sent,443
20.62.63.247,Sent,443
92.123.128.180,Sent,443
52.123.129.14,Sent,443
13.104.208.162,Sent,443
20.223.36.55,Sent,443
13.69.239.72,Sent,443
13.69.116.107,Sent,443
20.166.180.104,Sent,443
20.49.133.244,Sent,443
92.123.128.176,Sent,443
74.125.133.84,Sent,443
172.253.124.94,Sent,443
84.17.50.9,Sent,443
142.250.140.154,Sent,443
142.251.15.106,Sent,443
74.125.136.94,Sent,443
20.42.65.88,Sent,443
142.250.140.95,Sent,443
108.138.233.78,Sent,443
54.192.137.19,Sent,443
74.125.138.101,Sent,443
185.89.210.57,Sent,443
76.223.111.18,Sent,443
178.250.1.11,Sent,443
172.64.146.98,Sent,443
104.77.160.204,Sent,443
104.16.78.6,Sent,443
150.171.28.10,Sent,443
146.75.73.108,Sent,443
172.217.169.46,Sent,443
146.75.73.91,Sent,443
146.75.73.181,Sent,443
35.190.80.1,Sent,443
185.89.210.141,Sent,443
185.89.210.82,Sent,443
172.217.169.78,Sent,443
10.253.207.8,Sent,5900
104.77.160.223,Sent,443
172.64.151.87,Sent,443
20.165.94.46,Sent,443
52.97.219.226,Sent,443
52.97.211.146,Sent,443
13.69.116.108,Sent,443
10.253.207.10,Sent,5900
65.55.252.93,Sent,443
104.77.160.215,Sent,443
192.168.2.49,Sent,443
192.168.9.241,Sent,443
192.168.9.130,Sent,443
146.75.74.172,Sent,80
23.214.210.65,Sent,443
142.250.9.84,Sent,443
74.125.138.113,Sent,443
74.125.138.100,Sent,443
35.201.109.167,Sent,443
172.217.16.234,Sent,443
172.217.169.40,Sent,443
216.239.34.36,Sent,443
18.172.153.115,Sent,443
18.172.153.106,Sent,443
10.253.224.199,Sent,5900
37.252.173.215,Sent,443
37.252.171.85,Sent,443
92.123.128.146,Sent,443
40.79.150.120,Sent,443
40.79.141.153,Sent,443
52.109.32.97,Sent,80
37.252.171.52,Sent,443
184.50.114.155,Sent,443
10.8.21.227,Sent,443
10.8.6.228,Sent,443
172.217.16.227,Sent,443
74.125.21.100,Sent,443
172.253.124.95,Sent,443
52.98.196.2,Sent,443
142.251.29.94,Sent,443
142.251.29.94,Sent,80
52.109.28.47,Sent,443
13.89.178.26,Sent,443
20.190.159.130,Sent,443
13.107.42.12,Sent,443
13.107.137.11,Sent,443
72.145.35.42,Sent,443
92.123.128.161,Sent,443
20.31.169.57,Sent,443
20.50.80.209,Sent,443
20.42.73.30,Sent,443
185.89.210.248,Sent,443
3.233.158.25,Sent,443
52.111.236.2,Sent,443
185.89.210.90,Sent,443
4.251.34.76,Sent,443
142.250.151.95,Sent,443
142.251.30.102,Sent,443
40.79.141.152,Sent,443
20.189.173.17,Sent,443
52.138.229.66,Sent,443
142.250.9.95,Sent,443
104.77.160.207,Sent,443
204.79.197.203,Sent,443
52.97.129.226,Sent,443
23.48.165.7,Sent,443
172.64.155.209,Sent,443
20.190.160.3,Sent,443
92.123.128.157,Sent,443
20.190.160.14,Sent,443
52.109.88.9,Sent,443
13.69.239.77,Sent,443
52.109.28.0,Sent,443
185.89.210.153,Sent,443
20.190.159.73,Sent,443
37.252.172.124,Sent,443
37.252.172.69,Sent,443
20.52.64.200,Sent,443
20.189.173.4,Sent,443
150.171.27.10,Sent,443
216.58.212.234,Sent,443
142.251.30.94,Sent,443
103.224.212.215,Sent,443
13.107.21.243,Sent,443
52.48.48.251,Sent,443
18.244.164.36,Sent,443
74.178.76.128,Sent,443
20.190.159.23,Sent,443
74.178.232.29,Sent,443
192.168.147.201,Sent,139
192.168.147.201,Sent,445
142.251.30.97,Sent,443
142.250.151.101,Sent,443
142.250.151.139,Sent,443
142.250.178.10,Sent,443
18.172.153.18,Sent,443
74.178.240.61,Sent,443
20.190.160.20,Sent,443
20.190.160.17,Sent,443
18.244.164.2,Sent,443
20.190.159.64,Sent,443
74.178.76.44,Sent,443
142.250.200.35,Sent,443
216.58.204.74,Sent,443
216.58.213.10,Sent,443
142.251.30.104,Sent,443
172.217.169.10,Sent,443
142.250.117.100,Sent,443
172.217.169.35,Sent,443
142.250.140.113,Sent,443
142.250.200.42,Sent,443
142.250.200.10,Sent,443
10.8.7.8,Sent,443
10.8.6.9,Sent,443
10.21.67.129,Sent,443
142.250.117.139,Sent,443
142.251.30.95,Sent,443
142.250.178.3,Sent,443
216.58.212.202,Sent,443
2.19.117.97,Sent,80
2.16.153.13,Sent,80
150.171.28.12,Sent,443
104.20.47.80,Sent,443
146.75.75.42,Sent,443
52.211.194.182,Sent,443
2.16.153.210,Sent,443
178.250.1.9,Sent,443
185.89.210.20,Sent,443
2.19.117.105,Sent,80
85.91.47.165,Sent,443
104.18.41.158,Sent,443
2.19.117.85,Sent,443
40.79.197.34,Sent,443
35.71.131.137,Sent,443
54.220.64.61,Sent,443
3.68.54.3,Sent,443
34.250.153.181,Sent,443
54.154.196.71,Sent,443
54.72.189.212,Sent,443
52.223.6.21,Sent,443
108.174.10.31,Sent,443
52.16.15.9,Sent,443
99.80.110.139,Sent,443
185.89.211.116,Sent,443
2.19.117.104,Sent,80
3.220.110.163,Sent,443
98.82.157.137,Sent,443
185.89.208.19,Sent,443
40.126.31.0,Sent,443
2.19.117.100,Sent,443
2.19.117.100,Sent,80
95.100.104.17,Sent,443
13.74.129.1,Sent,443
40.126.31.131,Sent,443
185.80.36.156,Sent,443
2.19.117.72,Sent,443
2.16.153.198,Sent,443
104.77.160.198,Sent,443
2.16.55.202,Sent,443
20.199.58.43,Sent,443
20.189.173.15,Sent,443
13.69.109.130,Sent,443
20.190.160.130,Sent,443
2.16.153.196,Sent,443
2.19.117.69,Sent,443
52.123.128.14,Sent,443
13.104.208.165,Sent,443
18.165.242.4,Sent,443
142.250.117.101,Sent,443
142.251.29.148,Sent,443
142.250.117.155,Sent,443
142.250.140.155,Sent,443
216.58.212.227,Sent,443
52.111.236.17,Sent,443
108.156.39.4,Sent,443
142.251.29.154,Sent,443
52.84.90.56,Sent,443
52.84.90.22,Sent,443
216.58.201.97,Sent,443
142.250.117.154,Sent,443
142.251.30.155,Sent,443
142.251.29.149,Sent,443
18.244.140.88,Sent,443
3.217.194.32,Sent,443
142.250.151.156,Sent,443
2.19.117.70,Sent,443
2.23.220.27,Sent,443
37.252.171.53,Sent,443
13.248.245.213,Sent,443
20.190.160.65,Sent,443
13.107.139.11,Sent,443
141.226.228.48,Sent,443
172.66.171.133,Sent,443
104.20.20.189,Sent,443
172.64.146.215,Sent,443
2.16.153.197,Sent,443
2.16.153.224,Sent,443
13.69.109.131,Sent,443
104.18.24.18,Sent,443
162.159.141.246,Sent,443
