Peer IP,Direction,Destination Port
77.74.199.184,Sent,123
152.67.141.210,Sent,17472
85.199.214.100,Sent,123
51.89.151.183,Sent,123
209.132.178.16,Sent,443
185.83.169.27,Sent,123
2.21.6.25,Sent,443
35.158.105.37,Sent,443
2.22.12.251,Sent,443
194.168.88.199,Sent,443
194.168.88.199,Sent,53
194.168.88.199,Sent,52134
194.168.88.199,Sent,4735
194.168.88.199,Sent,52808
194.168.88.199,Sent,80
194.168.88.199,Sent,59808
194.168.88.199,Sent,40603
194.168.88.199,Sent,6711
194.168.88.196,Sent,443
194.168.88.196,Sent,53
194.168.88.196,Sent,45237
194.168.88.196,Sent,44131
194.168.88.196,Sent,6871
194.168.88.196,Sent,36631
194.168.88.196,Sent,8265
194.168.88.196,Sent,80
194.168.88.196,Sent,17887
2.21.6.97,Sent,443
85.236.55.6,Sent,443
169.254.169.254,Sent,80
198.41.0.4,Sent,53
192.58.128.30,Sent,53
2.21.6.235,Sent,443
95.101.87.181,Sent,443
2.21.15.121,Sent,443
18.156.194.220,Sent,443
192.168.9.249,Sent,1229
192.168.9.249,Sent,898
192.168.9.249,Sent,3109
192.168.9.249,Sent,633
192.168.9.249,Sent,2629
192.168.9.249,Sent,516
192.168.9.249,Sent,105
192.168.9.249,Sent,2012
192.168.9.249,Sent,3629
192.168.9.249,Sent,80
192.168.9.249,Sent,3664
192.168.9.249,Sent,3053
192.168.9.249,Sent,2170
192.168.9.249,Sent,3265
192.168.9.249,Sent,2232
192.168.9.249,Sent,2798
192.168.9.249,Sent,5093
192.168.9.249,Sent,2466
192.168.9.249,Sent,2353
192.168.9.249,Sent,3029
192.168.9.249,Sent,4018
192.168.9.249,Sent,2501
192.168.9.249,Sent,1625
192.168.9.249,Sent,3472
192.168.9.249,Sent,9205
192.168.9.249,Sent,1626
192.168.9.249,Sent,3092
192.168.9.249,Sent,3732
192.168.9.249,Sent,26263
192.168.9.249,Sent,2955
192.168.9.249,Sent,1719
192.168.9.249,Sent,1729
192.168.9.249,Sent,81
192.168.9.249,Sent,1445
192.168.9.249,Sent,6542
192.168.9.249,Sent,2880
192.168.9.249,Sent,8080
192.168.9.249,Sent,2893
192.168.9.249,Sent,2846
192.168.9.249,Sent,3518
192.168.9.249,Sent,15858
192.168.9.249,Sent,2569
192.168.9.249,Sent,7005
192.168.9.249,Sent,1085
192.168.9.249,Sent,2591
192.168.9.249,Sent,175
192.168.9.249,Sent,33568
192.168.9.249,Sent,1161
192.168.9.249,Sent,18769
192.168.9.249,Sent,1901
192.168.9.249,Sent,2190
192.168.9.249,Sent,1840
192.168.9.249,Sent,2357
192.168.9.249,Sent,1104
192.168.9.249,Sent,10607
192.168.9.249,Sent,373
192.168.9.249,Sent,7634
192.168.9.249,Sent,5672
192.168.9.249,Sent,3181
192.168.9.249,Sent,2062
192.168.9.249,Sent,2694
192.168.9.249,Sent,12345
192.168.9.249,Sent,2358
192.168.9.249,Sent,3126
192.168.9.249,Sent,2861
192.168.9.249,Sent,96
192.168.9.249,Sent,1251
192.168.9.249,Sent,3186
192.168.9.249,Sent,3916
192.168.9.249,Sent,4899
192.168.9.249,Sent,1282
192.168.9.249,Sent,31339
192.168.9.249,Sent,1682
192.168.9.249,Sent,3505
192.168.9.249,Sent,1476
192.168.9.249,Sent,2838
192.168.9.249,Sent,2460
192.168.9.249,Sent,5071
192.168.9.249,Sent,5417
192.168.9.249,Sent,2672
192.168.9.249,Sent,10203
192.168.9.249,Sent,3189
192.168.9.249,Sent,1505
192.168.9.249,Sent,2149
192.168.9.249,Sent,1079
192.168.9.249,Sent,2115
192.168.9.249,Sent,32774
192.168.9.249,Sent,3763
192.168.9.249,Sent,5555
192.168.9.249,Sent,6005
192.168.9.249,Sent,2994
192.168.9.249,Sent,2954
192.168.9.249,Sent,9704
192.168.9.249,Sent,2927
192.168.9.249,Sent,3589
192.168.9.249,Sent,6631
192.168.9.249,Sent,19194
192.168.9.249,Sent,1945
192.168.9.249,Sent,41111
192.168.9.249,Sent,9537
192.168.9.249,Sent,1941
192.168.9.249,Sent,18150
192.168.9.249,Sent,7846
192.168.9.249,Sent,2911
192.168.9.249,Sent,5190
192.168.9.249,Sent,3489
192.168.9.249,Sent,4027
192.168.9.249,Sent,3279
192.168.9.249,Sent,2498
192.168.9.249,Sent,6085
192.168.9.249,Sent,13819
192.168.9.249,Sent,6102
192.168.9.249,Sent,2028
192.168.9.249,Sent,2698
192.168.9.249,Sent,1063
192.168.9.249,Sent,2539
192.168.9.249,Sent,86
192.168.9.249,Sent,1477
192.168.9.249,Sent,10990
192.168.9.249,Sent,1519
192.168.9.249,Sent,3679
192.168.9.249,Sent,3222
192.168.9.249,Sent,3693
192.168.9.249,Sent,3260
192.168.9.249,Sent,4445
192.168.9.249,Sent,3709
192.168.9.249,Sent,5595
192.168.9.249,Sent,2809
192.168.9.249,Sent,1211
192.168.9.249,Sent,7798
192.168.9.249,Sent,12076
192.168.9.249,Sent,3039
192.168.9.249,Sent,26260
192.168.9.249,Sent,3876
192.168.9.249,Sent,2610
192.168.9.249,Sent,2570
192.168.9.249,Sent,3284
192.168.9.249,Sent,5414
192.168.9.249,Sent,6503
192.168.9.249,Sent,2048
192.168.9.249,Sent,2118
192.168.9.249,Sent,1772
192.168.9.249,Sent,470
192.168.9.249,Sent,1618
192.168.9.249,Sent,2608
192.168.9.249,Sent,3374
192.168.9.249,Sent,19350
192.168.9.249,Sent,767
192.168.9.249,Sent,1297
192.168.9.249,Sent,3416
192.168.9.249,Sent,9131
192.168.9.249,Sent,9992
192.168.9.249,Sent,636
192.168.9.249,Sent,537
192.168.9.249,Sent,3591
192.168.9.249,Sent,3677
192.168.9.249,Sent,3331
192.168.9.249,Sent,45000
192.168.9.249,Sent,13716
192.168.9.249,Sent,3749
192.168.9.249,Sent,3025
192.168.9.249,Sent,1448
192.168.9.249,Sent,8649
192.168.9.249,Sent,1162
192.168.9.249,Sent,1518
192.168.9.249,Sent,1030
192.168.9.249,Sent,658
