Peer IP,Direction,Destination Port
192.168.148.111,Received,22
192.168.148.111,Received,23
192.168.148.111,Received,21
192.168.148.111,Received,445
192.168.148.111,Received,256
192.168.4.160,Received,5
192.168.4.160,Received,21
192.168.4.160,Received,329
192.168.4.160,Received,445
192.168.4.160,Received,328
192.168.4.160,Received,19
192.168.4.160,Received,9
192.168.4.160,Received,286
192.168.4.160,Received,930
192.168.4.160,Received,330
192.168.4.160,Received,290
192.168.4.160,Received,919
192.168.4.160,Received,281
192.168.4.160,Received,7
192.168.4.160,Received,317
192.168.4.160,Received,921
192.168.4.160,Received,269
192.168.4.160,Received,270
192.168.4.160,Received,931
192.168.4.160,Received,296
192.168.4.160,Received,315
192.168.4.160,Received,274
192.168.4.160,Received,935
192.168.4.160,Received,6
192.168.4.160,Received,308
192.168.4.160,Received,272
192.168.4.160,Received,318
192.168.4.160,Received,10
192.168.4.160,Received,8
192.168.4.160,Received,285
192.168.4.160,Received,295
192.168.4.160,Received,11
192.168.4.160,Received,928
192.168.4.160,Received,298
192.168.4.160,Received,268
192.168.4.160,Received,322
192.168.4.160,Received,300
192.168.4.160,Received,914
192.168.4.160,Received,267
192.168.4.160,Received,284
192.168.4.160,Received,23
192.168.4.160,Received,283
192.168.4.160,Received,326
192.168.4.160,Received,327
192.168.4.160,Received,273
192.168.4.160,Received,280
192.168.4.160,Received,307
192.168.4.160,Received,313
192.168.4.160,Received,271
192.168.4.160,Received,303
192.168.4.160,Received,304
192.168.4.160,Received,289
192.168.4.160,Received,325
192.168.4.160,Received,920
192.168.4.160,Received,22
192.168.4.160,Received,929
192.168.4.160,Received,20
192.168.4.160,Received,314
192.168.4.160,Received,320
192.168.4.160,Received,305
192.168.4.160,Received,306
192.168.4.160,Received,925
192.168.4.160,Received,24
192.168.4.160,Received,924
192.168.4.160,Received,297
192.168.4.160,Received,293
192.168.4.160,Received,916
192.168.4.160,Received,915
192.168.4.160,Received,321
192.168.4.160,Received,282
192.168.4.160,Received,12
192.168.4.160,Received,319
192.168.4.160,Received,917
192.168.4.160,Received,279
192.168.4.160,Received,934
192.168.4.160,Received,299
192.168.4.160,Received,918
192.168.4.160,Received,294
192.168.4.160,Received,922
192.168.4.160,Received,316
192.168.4.160,Received,923
192.168.4.248,Received,9001
192.168.4.248,Received,2869
192.168.4.248,Received,1029
192.168.4.248,Received,58295
192.168.4.248,Received,53
192.168.4.248,Received,1025
192.168.4.248,Received,9100
192.168.4.248,Received,21
192.168.4.248,Received,161
192.168.4.248,Received,445
192.168.4.248,Received,5000
192.168.4.248,Received,497
192.168.4.248,Received,49000
192.168.4.248,Received,135
192.168.4.248,Received,22
192.168.4.248,Received,139
192.168.4.248,Received,111
192.168.4.248,Received,1028
192.168.4.248,Received,548
192.168.4.248,Received,80
192.168.4.248,Received,515
192.168.4.248,Received,25
192.168.4.248,Received,993
192.168.4.248,Received,6000
192.168.4.248,Received,23
192.168.4.248,Received,79
192.168.4.248,Received,1917
192.168.4.248,Received,8080
192.168.4.248,Received,443
192.168.4.248,Received,51773
