Peer IP,Direction,Destination Port
152.67.141.210,Sent,17472
192.168.2.12,Sent,53
192.168.2.12,Sent,389
146.75.74.172,Sent,80
192.168.2.13,Sent,53
185.160.60.100,Sent,80
2.16.153.11,Sent,80
20.165.94.63,Sent,443
74.178.240.61,Sent,443
52.149.20.212,Sent,443
65.55.252.93,Sent,443
91.81.129.181,Sent,80
2.16.153.13,Sent,80
104.78.173.167,Sent,80
20.190.159.71,Sent,443
217.20.56.98,Sent,80
20.12.23.50,Sent,443
74.178.76.128,Sent,443
40.126.32.76,Sent,443
91.80.49.85,Sent,80
151.101.190.172,Sent,80
104.78.173.45,Sent,80
54.67.119.89,Sent,443
40.126.32.68,Sent,443
52.8.141.1,Sent,443
54.67.114.188,Sent,443
91.81.129.180,Sent,80
20.109.210.53,Sent,443
192.168.9.223,Sent,53
217.20.56.100,Sent,80
50.18.194.39,Sent,443
54.183.135.80,Sent,443
54.183.120.141,Sent,443
54.67.122.238,Sent,443
217.20.56.99,Sent,80
54.241.183.232,Sent,443
13.56.121.58,Sent,443
54.67.108.17,Sent,443
40.126.32.72,Sent,443
2.21.64.133,Sent,80
23.204.232.117,Sent,443
104.103.251.131,Sent,443
2.23.220.107,Sent,443
2.19.117.88,Sent,443
142.250.187.228,Sent,80
142.250.187.228,Sent,443
52.84.90.84,Sent,443
13.107.246.64,Sent,443
66.235.152.163,Sent,443
13.74.129.1,Sent,443
150.171.27.10,Sent,443
204.79.197.203,Sent,443
2.19.117.27,Sent,443
104.77.160.199,Sent,443
104.77.160.211,Sent,443
2.19.117.9,Sent,443
147.154.230.206,Sent,443
66.235.152.111,Sent,443
23.39.224.128,Sent,443
18.200.183.80,Sent,443
23.74.160.134,Sent,443
2.16.153.222,Sent,443
216.58.212.206,Sent,443
142.250.140.102,Sent,443
142.250.200.10,Sent,443
142.250.187.206,Sent,443
216.58.201.99,Sent,443
13.69.116.108,Sent,443
18.154.84.35,Sent,443
151.101.130.137,Sent,443
2.23.205.243,Sent,443
172.64.149.23,Sent,80
142.250.117.94,Sent,80
2.16.153.198,Sent,443
142.251.29.101,Sent,80
2.16.153.203,Sent,443
142.250.140.94,Sent,443
2.16.153.216,Sent,443
104.18.38.233,Sent,80
104.77.160.221,Sent,443
51.140.244.186,Sent,443
23.74.161.144,Sent,443
2.16.55.225,Sent,443
51.140.242.104,Sent,443
2.16.153.227,Sent,443
