Peer IP,Direction,Destination Port
152.67.141.210,Sent,17472
52.123.129.14,Sent,443
20.189.173.10,Sent,443
199.232.58.172,Sent,80
2.22.98.7,Sent,80
20.42.65.90,Sent,443
52.168.117.175,Sent,443
172.66.0.26,Sent,443
20.44.239.154,Sent,443
20.189.173.26,Sent,443
20.42.72.131,Sent,443
84.201.209.98,Sent,80
13.69.239.73,Sent,443
52.182.143.211,Sent,443
52.140.118.28,Sent,443
20.50.80.210,Sent,443
52.168.112.66,Sent,443
185.160.60.100,Sent,80
52.123.128.14,Sent,443
20.44.10.123,Sent,443
13.89.178.27,Sent,443
20.72.205.209,Sent,443
20.189.173.6,Sent,443
20.189.173.14,Sent,443
151.101.190.172,Sent,80
142.250.140.94,Sent,443
216.58.212.195,Sent,443
52.182.143.213,Sent,443
52.168.117.174,Sent,443
20.50.201.195,Sent,443
20.165.94.46,Sent,443
150.171.22.17,Sent,443
13.89.179.10,Sent,443
84.201.209.74,Sent,80
104.208.16.91,Sent,443
20.189.173.24,Sent,443
199.232.54.172,Sent,80
104.208.16.89,Sent,443
162.159.140.26,Sent,443
13.89.179.11,Sent,443
20.42.65.88,Sent,443
20.189.173.13,Sent,443
20.189.173.8,Sent,443
52.182.143.214,Sent,443
52.191.219.104,Sent,443
104.46.162.227,Sent,443
20.189.173.7,Sent,443
20.52.64.201,Sent,443
104.208.16.92,Sent,443
20.42.73.25,Sent,443
74.178.76.128,Sent,443
142.250.117.94,Sent,443
213.106.14.88,Sent,80
13.89.178.26,Sent,443
20.189.173.4,Sent,443
51.116.253.169,Sent,443
52.168.117.169,Sent,443
20.42.73.27,Sent,443
104.208.16.88,Sent,443
52.168.117.171,Sent,443
84.201.209.100,Sent,80
40.79.173.40,Sent,443
13.71.55.58,Sent,443
20.189.173.9,Sent,443
192.168.2.13,Sent,389
13.89.179.14,Sent,443
184.25.193.167,Sent,443
62.252.168.34,Sent,443
23.217.6.169,Sent,443
13.107.5.93,Sent,443
62.252.188.137,Sent,443
150.171.73.16,Sent,443
213.106.14.25,Sent,80
52.167.17.97,Sent,443
40.119.249.228,Sent,443
142.250.151.94,Sent,443
142.250.180.3,Sent,443
104.46.162.226,Sent,443
40.74.98.195,Sent,443
51.11.192.48,Sent,443
51.104.15.253,Sent,443
74.178.232.29,Sent,443
52.182.143.210,Sent,443
74.178.76.44,Sent,443
51.105.71.137,Sent,443
62.252.188.193,Sent,80
20.42.65.85,Sent,443
104.208.16.90,Sent,443
20.189.173.17,Sent,443
84.201.209.69,Sent,80
20.42.65.84,Sent,443
20.189.173.2,Sent,443
