Peer IP,Direction,Destination Port
192.168.5.41,Received,10050
192.168.4.248,Received,2034
192.168.4.248,Received,9042
192.168.4.248,Received,2501
192.168.4.248,Received,1025
192.168.4.248,Received,43
192.168.4.248,Received,10000
192.168.4.248,Received,4750
192.168.4.248,Received,6510
192.168.4.248,Received,10012
192.168.4.248,Received,3905
192.168.4.248,Received,8008
192.168.4.248,Received,1801
192.168.4.248,Received,481
192.168.4.248,Received,10024
192.168.4.248,Received,49156
192.168.4.248,Received,10001
192.168.4.248,Received,2394
192.168.4.248,Received,2160
192.168.4.248,Received,8866
192.168.4.248,Received,21571
192.168.4.248,Received,2439
192.168.4.248,Received,458
192.168.4.248,Received,264
192.168.4.248,Received,5461
192.168.4.248,Received,222
192.168.4.248,Received,9877
192.168.4.248,Received,9929
192.168.4.248,Received,1417
192.168.4.248,Received,5001
192.168.4.248,Received,646
192.168.4.248,Received,7111
192.168.4.248,Received,5902
192.168.4.248,Received,8042
192.168.4.248,Received,54321
192.168.4.248,Received,9120
192.168.4.248,Received,3483
192.168.4.248,Received,1688
192.168.4.248,Received,7153
192.168.4.248,Received,3200
192.168.4.248,Received,15
192.168.4.248,Received,5900
192.168.4.248,Received,49201
192.168.4.248,Received,16016
192.168.4.248,Received,3391
192.168.4.248,Received,7002
192.168.4.248,Received,1030
192.168.4.248,Received,3551
192.168.4.248,Received,12397
192.168.4.248,Received,843
192.168.4.248,Received,13724
192.168.4.248,Received,2810
192.168.4.248,Received,3351
192.168.4.248,Received,44333
192.168.4.248,Received,7443
192.168.4.248,Received,9900
192.168.4.248,Received,2043
192.168.4.248,Received,749
192.168.4.248,Received,3299
192.168.4.248,Received,5214
192.168.4.248,Received,3869
192.168.4.248,Received,4111
192.168.4.248,Received,6050
192.168.4.248,Received,6580
192.168.4.248,Received,165
192.168.4.248,Received,2031
192.168.4.248,Received,49185
192.168.4.248,Received,6566
192.168.4.248,Received,464
192.168.4.248,Received,683
192.168.4.248,Received,911
192.168.4.248,Received,2557
192.168.4.248,Received,2710
192.168.4.248,Received,714
192.168.4.248,Received,5440
192.168.4.248,Received,4242
192.168.4.248,Received,7676
192.168.4.248,Received,47808
192.168.4.248,Received,3476
192.168.4.248,Received,9535
192.168.4.248,Received,7435
192.168.4.248,Received,16993
192.168.4.248,Received,1040
192.168.4.248,Received,1068
192.168.4.248,Received,2383
192.168.4.248,Received,9050
192.168.4.248,Received,4899
192.168.4.248,Received,30951
192.168.4.248,Received,1043
192.168.4.248,Received,3333
192.168.4.248,Received,3580
192.168.4.248,Received,25735
192.168.4.248,Received,50000
192.168.4.248,Received,5877
192.168.4.248,Received,63331
192.168.4.248,Received,1213
192.168.4.248,Received,445
192.168.4.248,Received,8005
192.168.4.248,Received,14442
192.168.4.248,Received,49330
192.168.4.248,Received,8654
192.168.4.248,Received,1001
192.168.4.248,Received,25300
192.168.4.248,Received,41524
192.168.4.248,Received,8611
192.168.4.248,Received,9040
192.168.4.248,Received,3389
192.168.4.248,Received,8123
192.168.4.248,Received,5060
192.168.4.248,Received,1130
192.168.4.248,Received,5988
192.168.4.248,Received,1641
192.168.4.248,Received,16161
192.168.4.248,Received,11743
192.168.4.248,Received,1199
192.168.4.248,Received,1164
192.168.4.248,Received,6666
192.168.4.248,Received,7741
192.168.4.248,Received,5087
192.168.4.248,Received,1433
192.168.4.248,Received,999
192.168.4.248,Received,28960
192.168.4.248,Received,1119
192.168.4.248,Received,1096
192.168.4.248,Received,10025
192.168.4.248,Received,9503
192.168.4.248,Received,9207
192.168.4.248,Received,4998
192.168.4.248,Received,648
192.168.4.248,Received,1094
192.168.4.248,Received,80
192.168.4.248,Received,515
192.168.4.248,Received,11234
192.168.4.248,Received,5768
192.168.4.248,Received,2522
192.168.4.248,Received,15002
192.168.4.248,Received,7955
192.168.4.248,Received,4569
192.168.4.248,Received,1064
192.168.4.248,Received,143
192.168.4.248,Received,3371
192.168.4.248,Received,2947
192.168.4.248,Received,3737
192.168.4.248,Received,9968
192.168.4.248,Received,3006
192.168.4.248,Received,1069
192.168.4.248,Received,3268
192.168.4.248,Received,17300
192.168.4.248,Received,15000
192.168.4.248,Received,5560
192.168.4.248,Received,8383
192.168.4.248,Received,8080
192.168.4.248,Received,2967
192.168.4.248,Received,1110
192.168.4.248,Received,3306
192.168.4.248,Received,30000
192.168.4.248,Received,5850
192.168.4.248,Received,5915
192.168.4.248,Received,3052
192.168.4.248,Received,7439
192.168.4.248,Received,28961
192.168.4.248,Received,1665
192.168.4.248,Received,1194
192.168.4.248,Received,8290
192.168.4.248,Received,2007
192.168.4.248,Received,1582
192.168.4.248,Received,1311
192.168.4.248,Received,1645
192.168.4.248,Received,5500
192.168.4.248,Received,5666
192.168.4.248,Received,5718
192.168.4.248,Received,1051
192.168.4.248,Received,1314
192.168.4.248,Received,2260
192.168.4.248,Received,33270
192.168.4.248,Received,40193
192.168.4.248,Received,8765
192.168.4.248,Received,55056
192.168.4.248,Received,20222
192.168.4.248,Received,1072
192.168.4.248,Received,3918
192.168.4.248,Received,6689
192.168.4.248,Received,1093
192.168.4.248,Received,10010
192.168.4.248,Received,992
192.168.4.248,Received,3517
192.168.4.248,Received,1124
192.168.4.248,Received,136
192.168.4.248,Received,6646
192.168.4.248,Received,2399
192.168.4.248,Received,9081
192.168.4.248,Received,16000
192.168.4.248,Received,2008
192.168.4.248,Received,10031
192.168.4.248,Received,1281
192.168.4.248,Received,1259
192.168.4.248,Received,2301
192.168.4.248,Received,5353
192.168.4.248,Received,2288
192.168.4.248,Received,8031
192.168.4.248,Received,7911
192.168.4.248,Received,1783
192.168.4.248,Received,18747
192.168.4.248,Received,15217
192.168.4.248,Received,2190
192.168.4.248,Received,995
192.168.4.248,Received,42510
192.168.4.248,Received,2121
192.168.4.248,Received,17877
192.168.4.248,Received,2006
192.168.4.248,Received,20000
192.168.4.248,Received,85
192.168.4.248,Received,24800
192.168.4.248,Received,1600
192.168.4.248,Received,5051
192.168.4.248,Received,4279
192.168.4.248,Received,3300
192.168.4.248,Received,4848
192.168.4.248,Received,7461
192.168.4.248,Received,2179
192.168.4.248,Received,720
192.168.4.248,Received,6025
192.168.4.248,Received,2323
192.168.4.248,Received,44334
192.168.4.248,Received,1079
192.168.4.248,Received,593
192.168.4.248,Received,6007
192.168.4.248,Received,6567
192.168.4.248,Received,65024
192.168.4.248,Received,6100
192.168.4.248,Received,7222
192.168.4.248,Received,1301
192.168.4.248,Received,8010
192.168.4.248,Received,4343
192.168.4.248,Received,3261
192.168.4.248,Received,1041
192.168.4.248,Received,8400
192.168.4.248,Received,3
192.168.4.248,Received,40911
192.168.4.248,Received,5862
192.168.4.248,Received,1971
192.168.4.248,Received,40001
192.168.4.248,Received,4559
192.168.4.248,Received,2401
192.168.4.248,Received,1095
192.168.4.248,Received,3493
192.168.4.248,Received,3221
192.168.4.248,Received,13666
192.168.4.248,Received,38293
192.168.4.248,Received,1583
192.168.4.248,Received,1972
192.168.4.248,Received,2725
192.168.4.248,Received,3968
192.168.4.248,Received,26867
192.168.4.248,Received,2998
192.168.4.248,Received,6106
192.168.4.248,Received,4506
192.168.4.248,Received,13838
192.168.4.248,Received,1322
192.168.4.248,Received,1053
192.168.4.248,Received,996
192.168.4.248,Received,102
192.168.4.248,Received,9
192.168.4.248,Received,1718
192.168.4.248,Received,7001
192.168.4.248,Received,3703
192.168.4.248,Received,5962
192.168.4.248,Received,1248
192.168.4.248,Received,9943
192.168.4.248,Received,61532
192.168.4.248,Received,6123
192.168.4.248,Received,10051
192.168.4.248,Received,11111
192.168.4.248,Received,6156
192.168.4.248,Received,2920
192.168.4.248,Received,514
192.168.4.248,Received,1031
192.168.4.248,Received,24444
192.168.4.248,Received,32778
192.168.4.248,Received,1091
192.168.4.248,Received,2525
192.168.4.248,Received,68
192.168.4.248,Received,1057
192.168.4.248,Received,1723
192.168.4.248,Received,1009
192.168.4.248,Received,6346
192.168.4.248,Received,8200
192.168.4.248,Received,5925
192.168.4.248,Received,4321
192.168.4.248,Received,1524
192.168.4.248,Received,10081
192.168.4.248,Received,1046
192.168.4.248,Received,8002
192.168.4.248,Received,6006
192.168.4.248,Received,1272
192.168.4.248,Received,8100
192.168.4.248,Received,1002
192.168.4.248,Received,23
192.168.4.248,Received,4
192.168.4.248,Received,4500
192.168.4.248,Received,21065
192.168.4.248,Received,6008
192.168.4.248,Received,1052
192.168.4.248,Received,2010
192.168.4.248,Received,5414
192.168.4.248,Received,1033
192.168.4.248,Received,2222
192.168.4.248,Received,1594
192.168.4.248,Received,668
192.168.4.248,Received,1700
192.168.4.248,Received,5780
192.168.4.248,Received,32780
192.168.4.248,Received,9009
192.168.4.248,Received,50006
192.168.4.248,Received,5678
192.168.4.248,Received,1478
192.168.4.248,Received,4730
192.168.4.248,Received,2144
192.168.4.248,Received,5431
192.168.4.248,Received,51051
192.168.4.248,Received,1864
192.168.4.248,Received,18101
192.168.4.248,Received,2300
192.168.4.248,Received,6699
192.168.4.248,Received,32781
192.168.4.248,Received,1054
192.168.4.248,Received,1045
192.168.4.248,Received,2381
192.168.4.248,Received,631
192.168.4.248,Received,10202
192.168.4.248,Received,5904
192.168.4.248,Received,2000
192.168.4.248,Received,465
192.168.4.248,Received,5200
192.168.4.248,Received,33354
192.168.4.248,Received,7070
192.168.4.248,Received,65389
192.168.4.248,Received,1277
192.168.4.248,Received,3766
192.168.4.248,Received,1056
192.168.4.248,Received,259
192.168.4.248,Received,2536
192.168.4.248,Received,687
192.168.4.248,Received,64100
192.168.4.248,Received,7921
192.168.4.248,Received,42
192.168.4.248,Received,1037
192.168.4.248,Received,5168
192.168.4.248,Received,8082
192.168.4.248,Received,8701
192.168.4.248,Received,4224
192.168.4.248,Received,49182
192.168.4.248,Received,628
192.168.4.248,Received,11460
192.168.4.248,Received,2500
192.168.4.248,Received,111
192.168.4.248,Received,5986
192.168.4.248,Received,4003
192.168.4.248,Received,10009
192.168.4.248,Received,4125
192.168.4.248,Received,1058
192.168.4.248,Received,14567
192.168.4.248,Received,49167
192.168.4.248,Received,2196
192.168.4.248,Received,3478
192.168.4.248,Received,7019
192.168.4.248,Received,44818
192.168.4.248,Received,55055
192.168.4.248,Received,30100
192.168.4.248,Received,5910
192.168.4.248,Received,1061
192.168.4.248,Received,32784
192.168.4.248,Received,49161
192.168.4.248,Received,9878
192.168.4.248,Received,32999
192.168.4.248,Received,106
192.168.4.248,Received,3827
192.168.4.248,Received,1658
192.168.4.248,Received,11211
192.168.4.248,Received,1082
192.168.4.248,Received,402
192.168.4.248,Received,49181
192.168.4.248,Received,1719
192.168.4.248,Received,7920
192.168.4.248,Received,1036
192.168.4.248,Received,1589
192.168.4.248,Received,27355
192.168.4.248,Received,8083
192.168.4.248,Received,13500
192.168.4.248,Received,2009
192.168.4.248,Received,49380
192.168.4.248,Received,4410
192.168.4.248,Received,3369
192.168.4.248,Received,2809
192.168.4.248,Received,1039
192.168.4.248,Received,50013
192.168.4.248,Received,4592
192.168.4.248,Received,5432
192.168.4.248,Received,81
192.168.4.248,Received,135
192.168.4.248,Received,9000
192.168.4.248,Received,6161
192.168.4.248,Received,548
192.168.4.248,Received,1148
192.168.4.248,Received,10004
192.168.4.248,Received,2207
192.168.4.248,Received,6000
192.168.4.248,Received,9443
192.168.4.248,Received,2041
192.168.4.248,Received,2605
192.168.4.248,Received,19801
192.168.4.248,Received,8889
192.168.4.248,Received,306
192.168.4.248,Received,6001
192.168.4.248,Received,3889
192.168.4.248,Received,7339
192.168.4.248,Received,1151
192.168.4.248,Received,1187
192.168.4.248,Received,664
192.168.4.248,Received,162
192.168.4.248,Received,49157
192.168.4.248,Received,3003
