Peer IP,Direction,Destination Port
192.168.2.12,Sent,57500
192.168.2.12,Sent,62533
192.168.2.12,Sent,60871
192.168.2.12,Sent,58809
192.168.2.12,Sent,53
192.168.2.12,Sent,58508
192.168.2.12,Sent,55789
192.168.2.12,Sent,59229
192.168.2.12,Sent,57190
192.168.2.12,Sent,445
192.168.2.12,Sent,59138
192.168.2.12,Sent,58352
192.168.2.12,Sent,54016
192.168.2.12,Sent,58839
192.168.2.12,Sent,51852
192.168.2.12,Sent,59813
192.168.2.12,Sent,59344
192.168.2.12,Sent,63353
192.168.2.12,Sent,61771
192.168.2.12,Sent,62235
192.168.2.12,Sent,60714
192.168.2.12,Sent,56101
192.168.2.12,Sent,135
192.168.2.12,Sent,389
192.168.2.12,Sent,60831
192.168.2.12,Sent,64258
192.168.2.12,Sent,59534
192.168.2.12,Sent,55491
192.168.2.12,Sent,54313
192.168.2.12,Sent,58374
192.168.2.12,Sent,64128
192.168.2.12,Sent,49667
192.168.2.12,Sent,58680
192.168.2.12,Sent,60807
192.168.4.101,Sent,123
192.168.4.101,Sent,53
192.168.4.101,Sent,64034
192.168.4.101,Sent,49669
192.168.4.101,Sent,49676
192.168.4.101,Sent,445
192.168.4.101,Sent,135
192.168.4.101,Sent,389
192.168.4.102,Sent,53
192.168.4.102,Sent,49675
192.168.4.102,Sent,49666
192.168.4.102,Sent,135
192.168.4.102,Sent,389
192.168.4.103,Sent,53
192.168.2.13,Sent,55040
192.168.2.13,Sent,59109
192.168.2.13,Sent,64520
192.168.2.13,Sent,65166
192.168.2.13,Sent,63106
192.168.2.13,Sent,53
192.168.2.13,Sent,59386
192.168.2.13,Sent,62847
192.168.2.13,Sent,62984
192.168.2.13,Sent,64924
192.168.4.105,Sent,8530
192.168.5.27,Sent,64762
192.168.5.54,Sent,65301
192.168.5.54,Sent,52437
192.168.5.54,Sent,50999
192.168.4.248,Sent,58175
192.168.4.248,Sent,48346
192.168.4.248,Sent,18143
192.168.4.248,Sent,61949
192.168.4.248,Sent,14374
192.168.4.248,Sent,61948
192.168.4.248,Sent,55161
192.168.4.248,Sent,54413
192.168.4.248,Sent,48170
192.168.4.248,Sent,64305
192.168.4.248,Sent,51677
192.168.4.248,Sent,55160
192.168.4.248,Sent,37497
192.168.4.248,Sent,58174
192.168.4.248,Sent,14373
192.168.4.248,Sent,33684
192.168.4.248,Sent,54414
192.168.4.248,Sent,37496
192.168.4.248,Sent,64304
192.168.5.41,Sent,38216
192.168.5.41,Sent,41724
192.168.5.41,Received,10050
44.128.83.172,Received,672
44.128.83.172,Received,150
44.128.83.172,Received,2022
44.128.83.172,Received,1875
44.128.83.172,Received,674
44.128.83.172,Received,291
44.128.83.172,Received,196
44.128.83.172,Received,673
44.128.83.172,Received,272
44.128.83.172,Received,2044
44.128.83.172,Received,626
44.128.83.172,Received,237
44.128.83.172,Received,642
44.128.83.172,Received,191
44.128.83.172,Received,1874
44.128.83.172,Received,641
44.128.83.172,Received,289
44.128.83.172,Received,148
44.128.83.172,Received,2023
44.128.83.172,Received,2072
44.128.83.172,Received,290
44.128.83.172,Received,1851
44.128.83.172,Received,690
44.128.83.172,Received,627
44.128.83.172,Received,691
44.128.83.172,Received,2064
44.128.83.172,Received,389
44.128.83.172,Received,240
44.128.83.172,Received,1852
44.128.83.172,Received,275
44.128.83.172,Received,147
44.128.83.172,Received,2021
44.128.83.172,Received,2024
44.128.83.172,Received,80
44.128.83.172,Received,2042
44.128.83.172,Received,2071
44.128.83.172,Received,624
44.128.83.172,Received,643
44.128.83.172,Received,625
44.128.83.172,Received,675
44.128.83.172,Received,2043
44.128.83.172,Received,1853
44.128.83.172,Received,145
44.128.83.172,Received,1850
44.128.83.172,Received,659
44.128.83.172,Received,2041
44.128.83.172,Received,2062
44.128.83.172,Received,193
44.128.83.172,Received,242
44.128.83.172,Received,688
44.128.83.172,Received,443
44.128.83.172,Received,2061
44.128.83.172,Received,657
44.128.83.172,Received,273
44.128.83.172,Received,658
44.128.83.172,Received,274
44.128.83.172,Received,2063
44.128.83.172,Received,640
44.128.83.172,Received,656
44.128.83.172,Received,288
44.128.83.172,Received,689
44.128.83.172,Received,239
44.128.83.172,Received,194
192.168.115.123,Received,389
10.139.2.36,Received,139
10.139.2.36,Received,445
44.128.83.71,Received,719
44.128.83.71,Received,933
44.128.83.71,Received,750
44.128.83.71,Received,309
44.128.83.71,Received,1048
44.128.83.71,Received,1016
44.128.83.71,Received,785
44.128.83.71,Received,1051
44.128.83.71,Received,360
44.128.83.71,Received,608
44.128.83.71,Received,868
44.128.83.71,Received,1049
44.128.83.71,Received,406
44.128.83.71,Received,421
44.128.83.71,Received,328
44.128.83.71,Received,508
44.128.83.71,Received,852
44.128.83.71,Received,1001
44.128.83.71,Received,1014
44.128.83.71,Received,1083
44.128.83.71,Received,1067
44.128.83.71,Received,459
44.128.83.71,Received,1115
44.128.83.71,Received,562
44.128.83.71,Received,930
44.128.83.71,Received,290
44.128.83.71,Received,358
44.128.83.71,Received,407
44.128.83.71,Received,814
44.128.83.71,Received,967
44.128.83.71,Received,734
44.128.83.71,Received,1130
44.128.83.71,Received,524
44.128.83.71,Received,932
44.128.83.71,Received,490
44.128.83.71,Received,541
44.128.83.71,Received,390
44.128.83.71,Received,577
44.128.83.71,Received,594
44.128.83.71,Received,342
44.128.83.71,Received,576
44.128.83.71,Received,931
44.128.83.71,Received,1133
44.128.83.71,Received,800
44.128.83.71,Received,561
44.128.83.71,Received,491
44.128.83.71,Received,374
44.128.83.71,Received,375
44.128.83.71,Received,443
44.128.83.71,Received,1132
44.128.83.71,Received,442
44.128.83.71,Received,578
44.128.83.71,Received,458
44.128.83.71,Received,799
44.128.83.71,Received,1031
44.128.83.71,Received,899
44.128.83.71,Received,784
44.128.83.71,Received,308
44.128.83.71,Received,440
44.128.83.71,Received,492
44.128.83.71,Received,999
44.128.83.71,Received,1000
44.128.83.71,Received,769
44.128.83.71,Received,1015
44.128.83.71,Received,422
44.128.83.71,Received,885
44.128.83.71,Received,735
44.128.83.71,Received,509
44.128.83.71,Received,626
44.128.83.71,Received,948
44.128.83.71,Received,1101
44.128.83.71,Received,424
44.128.83.71,Received,1032
44.128.83.71,Received,1066
44.128.83.71,Received,357
44.128.83.71,Received,866
44.128.83.71,Received,914
44.128.83.71,Received,560
44.128.83.71,Received,798
44.128.83.71,Received,343
44.128.83.71,Received,624
44.128.83.71,Received,441
44.128.83.71,Received,1082
44.128.83.71,Received,998
44.128.83.71,Received,525
44.128.83.71,Received,507
44.128.83.71,Received,610
44.128.83.71,Received,884
44.128.83.71,Received,575
44.128.83.71,Received,900
44.128.83.71,Received,949
44.128.83.71,Received,326
44.128.83.71,Received,476
44.128.83.71,Received,327
44.128.83.71,Received,475
44.128.83.71,Received,834
44.128.83.71,Received,983
44.128.83.71,Received,592
44.128.83.71,Received,542
44.128.83.71,Received,307
44.128.83.71,Received,1033
44.128.83.71,Received,607
44.128.83.71,Received,969
44.128.83.71,Received,801
44.128.83.71,Received,951
44.128.83.71,Received,291
44.128.83.71,Received,718
44.128.83.71,Received,310
44.128.83.71,Received,392
44.128.83.71,Received,559
44.128.83.71,Received,783
44.128.83.71,Received,289
44.128.83.71,Received,325
44.128.83.71,Received,373
44.128.83.71,Received,1030
44.128.83.71,Received,1069
44.128.83.71,Received,1098
44.128.83.71,Received,474
44.128.83.71,Received,1100
44.128.83.71,Received,473
44.128.83.71,Received,720
44.128.83.71,Received,389
44.128.83.71,Received,1099
44.128.83.71,Received,815
44.128.83.71,Received,292
44.128.83.71,Received,700
44.128.83.71,Received,816
44.128.83.71,Received,593
44.128.83.71,Received,701
44.128.83.71,Received,1114
44.128.83.71,Received,768
44.128.83.71,Received,609
44.128.83.71,Received,736
44.128.83.71,Received,753
44.128.83.71,Received,625
44.128.83.71,Received,869
44.128.83.71,Received,408
44.128.83.71,Received,439
44.128.83.71,Received,850
44.128.83.71,Received,523
44.128.83.71,Received,985
44.128.83.71,Received,984
44.128.83.71,Received,591
44.128.83.71,Received,853
44.128.83.71,Received,767
44.128.83.71,Received,376
44.128.83.71,Received,1017
44.128.83.71,Received,1084
44.128.83.71,Received,782
