Peer IP,Direction,Destination Port
52.123.128.14,Sent,443
192.168.147.159,Sent,8834
152.67.141.210,Sent,17472
192.168.147.46,Sent,445
192.168.147.46,Sent,49331
192.168.147.46,Sent,135
45.60.34.37,Sent,443
52.168.117.171,Sent,443
217.20.56.98,Sent,80
52.168.117.168,Sent,443
10.139.48.18,Sent,22
20.72.205.209,Sent,443
52.182.143.208,Sent,443
146.75.74.172,Sent,80
52.182.143.211,Sent,443
52.168.117.170,Sent,443
52.182.143.210,Sent,443
40.119.249.228,Sent,443
52.182.143.209,Sent,443
2.16.153.13,Sent,80
13.89.179.11,Sent,443
13.71.55.58,Sent,443
20.189.173.23,Sent,443
52.123.129.14,Sent,443
52.168.117.174,Sent,443
20.42.73.25,Sent,443
91.80.49.20,Sent,80
104.46.162.227,Sent,443
91.81.130.133,Sent,80
150.171.22.17,Sent,443
4.155.164.36,Sent,443
52.191.219.104,Sent,443
52.178.17.3,Sent,443
20.44.10.123,Sent,443
52.185.211.133,Sent,443
52.168.117.169,Sent,443
20.50.73.11,Sent,443
52.183.220.149,Sent,443
40.126.32.68,Sent,443
20.189.173.16,Sent,443
52.182.143.215,Sent,443
20.189.173.1,Sent,443
40.79.141.153,Sent,443
20.189.173.28,Sent,443
91.80.49.86,Sent,80
52.140.118.28,Sent,443
20.189.173.14,Sent,443
20.189.173.15,Sent,443
20.189.173.9,Sent,443
85.210.194.23,Sent,443
52.168.117.175,Sent,443
51.132.193.104,Sent,443
2.16.153.11,Sent,80
20.189.173.17,Sent,443
13.69.116.104,Sent,443
52.182.143.214,Sent,443
20.42.65.93,Sent,443
20.106.86.13,Sent,443
185.160.60.100,Sent,80
104.78.173.167,Sent,80
20.189.173.4,Sent,443
100.112.33.4,Sent,445
192.168.147.254,Sent,445
192.168.147.254,Sent,636
192.168.147.254,Sent,389
100.112.33.5,Sent,445
104.208.16.92,Sent,443
10.139.48.19,Sent,22
51.105.71.136,Sent,443
51.11.168.232,Sent,443
52.168.112.67,Sent,443
13.89.179.13,Sent,443
13.69.109.131,Sent,443
20.189.173.3,Sent,443
20.44.239.154,Sent,443
20.50.80.209,Sent,443
20.189.173.5,Sent,443
20.189.173.27,Sent,443
20.42.65.88,Sent,443
13.78.111.199,Sent,443
51.11.192.48,Sent,443
20.189.173.11,Sent,443
192.168.147.201,Sent,139
192.168.147.201,Sent,445
192.168.147.179,Sent,445
20.189.173.2,Sent,443
40.79.173.40,Sent,443
52.137.106.217,Sent,443
20.189.173.26,Sent,443
51.132.193.105,Sent,443
20.52.64.200,Sent,443
72.145.35.105,Sent,443
52.123.242.76,Sent,443
20.165.94.46,Sent,443
2.23.221.196,Sent,443
13.89.179.9,Sent,443
104.208.16.88,Sent,443
20.49.150.241,Sent,443
13.89.179.8,Sent,443
104.208.16.91,Sent,443
20.42.73.26,Sent,443
20.42.73.31,Sent,443
40.126.31.3,Sent,443
172.187.46.136,Sent,443
51.116.253.170,Sent,443
20.190.159.64,Sent,443
52.167.249.196,Sent,443
20.42.73.28,Sent,443
20.50.201.200,Sent,443
192.175.48.1,Sent,53
128.85.113.133,Sent,443
52.182.143.213,Sent,443
52.165.164.15,Sent,443
72.145.35.115,Sent,443
20.42.65.91,Sent,443
20.190.159.73,Sent,443
20.189.173.25,Sent,443
20.42.65.85,Sent,443
20.189.173.24,Sent,443
13.69.239.77,Sent,443
20.190.159.68,Sent,443
13.89.179.14,Sent,443
40.79.173.41,Sent,443
51.104.15.253,Sent,443
20.189.173.18,Sent,443
74.178.232.29,Sent,443
192.168.9.223,Sent,389
192.168.147.188,Sent,445
100.112.45.20,Sent,445
192.168.147.96,Sent,445
192.168.147.165,Sent,445
192.168.147.197,Sent,445
100.112.33.9,Sent,445
192.168.147.59,Sent,445
192.168.147.238,Sent,445
192.168.147.205,Sent,445
192.168.147.220,Sent,445
100.112.34.5,Sent,445
192.168.147.78,Sent,445
100.112.34.10,Sent,445
10.141.10.193,Sent,445
10.141.10.193,Sent,135
10.117.181.48,Sent,445
10.117.181.48,Sent,135
10.141.7.131,Sent,445
10.141.7.131,Sent,135
100.112.37.42,Sent,445
100.112.37.42,Sent,135
192.168.147.212,Sent,445
100.112.36.180,Sent,445
100.112.45.148,Sent,445
100.112.37.133,Sent,445
100.112.37.164,Sent,445
100.112.37.181,Sent,445
100.112.45.140,Sent,445
192.168.147.22,Sent,445
10.141.10.31,Sent,445
10.141.10.31,Sent,135
100.112.37.41,Sent,445
100.112.37.41,Sent,135
100.112.37.38,Sent,445
100.112.37.38,Sent,135
100.112.37.36,Sent,445
100.112.37.36,Sent,135
10.141.10.236,Sent,445
10.141.10.236,Sent,135
100.112.34.12,Sent,445
100.112.33.6,Sent,445
192.168.147.207,Sent,445
192.168.147.187,Sent,445
100.112.33.8,Sent,445
100.112.34.8,Sent,445
100.112.34.14,Sent,445
100.112.37.182,Sent,445
192.168.147.53,Sent,445
10.139.2.36,Sent,445
10.139.2.36,Sent,135
100.112.34.148,Sent,445
10.141.10.130,Sent,445
10.141.10.130,Sent,135
10.139.2.37,Sent,445
10.139.2.37,Sent,135
100.112.37.37,Sent,445
100.112.37.37,Sent,135
10.204.103.223,Sent,445
10.204.103.223,Sent,135
91.80.49.85,Sent,80
52.178.17.2,Sent,443
40.74.98.193,Sent,443
51.11.192.49,Sent,443
104.208.16.95,Sent,443
40.126.31.67,Sent,443
20.42.73.24,Sent,443
51.105.71.137,Sent,443
20.189.173.8,Sent,443
20.165.94.63,Sent,443
52.167.17.97,Sent,443
20.189.173.13,Sent,443
20.44.10.122,Sent,443
20.50.80.213,Sent,443
13.89.178.26,Sent,443
20.50.201.201,Sent,443
20.50.73.10,Sent,443
52.168.112.66,Sent,443
20.50.201.195,Sent,443
20.189.173.10,Sent,443
40.79.150.121,Sent,443
20.42.73.27,Sent,443
20.42.73.30,Sent,443
104.208.16.90,Sent,443
20.190.159.75,Sent,443
217.20.56.100,Sent,80
104.46.162.225,Sent,443
13.78.111.198,Sent,443
104.208.16.89,Sent,443
20.109.210.53,Sent,443
132.196.74.210,Sent,443
13.95.31.18,Sent,443
72.145.35.96,Sent,443
20.190.160.4,Sent,443
13.69.239.78,Sent,443
51.11.192.50,Sent,443
91.81.130.134,Sent,80
217.20.56.101,Sent,80
13.89.179.10,Sent,443
91.80.49.22,Sent,80
192.168.2.12,Sent,389
20.12.23.50,Sent,443
100.112.37.150,Sent,445
100.112.37.90,Sent,445
100.112.45.36,Sent,445
192.168.147.36,Sent,445
100.112.45.21,Sent,445
100.112.37.100,Sent,445
192.168.147.226,Sent,445
100.112.34.4,Sent,445
100.112.41.22,Sent,445
192.168.147.8,Sent,445
192.168.147.190,Sent,445
192.168.2.76,Sent,445
192.168.2.76,Sent,135
10.141.10.139,Sent,445
10.141.10.139,Sent,135
192.168.147.13,Sent,445
192.168.147.40,Sent,445
192.168.147.219,Sent,445
192.168.147.137,Sent,445
192.168.147.41,Sent,445
100.112.41.21,Sent,445
192.168.147.6,Sent,445
10.141.10.114,Sent,445
10.141.10.114,Sent,135
10.141.10.32,Sent,445
10.141.10.32,Sent,135
10.141.10.235,Sent,445
10.141.10.235,Sent,135
100.112.36.52,Sent,445
100.112.37.212,Sent,445
192.168.147.57,Sent,445
100.112.36.148,Sent,445
192.168.147.203,Sent,445
44.128.244.120,Sent,445
100.112.37.142,Sent,445
10.141.10.237,Sent,445
10.141.10.237,Sent,135
192.168.2.119,Sent,445
192.168.2.119,Sent,135
10.245.77.134,Sent,445
10.245.77.134,Sent,135
100.112.36.213,Sent,445
10.141.10.172,Sent,445
10.141.10.172,Sent,135
