Peer IP,Direction,Destination Port
152.67.141.210,Sent,17472
13.89.178.26,Sent,443
162.159.140.26,Sent,443
52.168.117.170,Sent,443
13.71.55.58,Sent,443
13.89.179.13,Sent,443
172.66.0.26,Sent,443
13.89.179.10,Sent,443
20.189.173.16,Sent,443
20.42.65.89,Sent,443
40.79.141.153,Sent,443
20.189.173.1,Sent,443
20.189.173.5,Sent,443
52.191.219.104,Sent,443
74.178.240.61,Sent,443
40.79.150.120,Sent,443
52.178.17.2,Sent,443
52.182.141.63,Sent,443
40.74.98.194,Sent,443
20.189.173.10,Sent,443
104.78.173.167,Sent,80
20.42.72.131,Sent,443
20.42.73.28,Sent,443
104.208.16.89,Sent,443
20.189.173.2,Sent,443
52.140.118.28,Sent,443
52.168.117.171,Sent,443
52.185.211.133,Sent,443
104.208.16.88,Sent,443
52.168.112.66,Sent,443
20.42.73.26,Sent,443
192.168.147.5,Sent,8530
20.189.173.4,Sent,443
52.182.143.210,Sent,443
40.119.249.228,Sent,443
20.189.173.15,Sent,443
52.138.229.66,Sent,443
20.106.86.13,Sent,443
20.44.10.122,Sent,443
20.50.80.209,Sent,443
20.50.73.9,Sent,443
20.42.65.88,Sent,443
20.42.65.84,Sent,443
104.208.16.90,Sent,443
2.16.153.11,Sent,80
20.189.173.18,Sent,443
40.79.173.40,Sent,443
13.89.179.14,Sent,443
20.189.173.17,Sent,443
20.49.150.241,Sent,443
192.168.147.179,Sent,445
20.189.173.24,Sent,443
146.75.74.172,Sent,80
20.189.173.7,Sent,443
185.160.60.100,Sent,80
13.89.179.9,Sent,443
20.189.173.13,Sent,443
13.89.179.8,Sent,443
20.42.73.31,Sent,443
20.42.73.30,Sent,443
51.105.71.137,Sent,443
20.189.173.26,Sent,443
20.52.64.201,Sent,443
20.189.173.11,Sent,443
20.42.65.91,Sent,443
52.178.17.3,Sent,443
52.168.117.168,Sent,443
20.42.73.24,Sent,443
20.72.205.209,Sent,443
52.168.117.174,Sent,443
91.81.129.182,Sent,80
172.184.231.67,Sent,443
13.95.31.18,Sent,443
2.23.221.196,Sent,443
72.154.7.96,Sent,443
13.69.239.74,Sent,443
2.16.153.13,Sent,80
172.187.46.136,Sent,443
20.50.201.205,Sent,443
52.168.117.175,Sent,443
51.11.168.232,Sent,443
20.189.173.12,Sent,443
51.105.71.136,Sent,443
20.42.65.85,Sent,443
104.208.16.92,Sent,443
13.70.79.200,Sent,443
20.42.65.94,Sent,443
52.182.143.215,Sent,443
52.137.106.217,Sent,443
13.78.111.199,Sent,443
20.189.173.8,Sent,443
51.132.193.104,Sent,443
20.44.239.154,Sent,443
20.44.10.123,Sent,443
20.189.173.14,Sent,443
13.89.178.27,Sent,443
51.116.246.105,Sent,443
20.189.173.28,Sent,443
13.69.116.104,Sent,443
20.42.65.90,Sent,443
40.79.173.41,Sent,443
192.168.147.201,Sent,139
192.168.147.201,Sent,445
20.189.173.6,Sent,443
52.168.117.169,Sent,443
52.167.249.196,Sent,443
20.189.173.25,Sent,443
40.79.197.34,Sent,443
40.79.167.8,Sent,443
52.182.143.213,Sent,443
20.165.94.63,Sent,443
52.182.143.208,Sent,443
130.213.27.180,Sent,443
20.242.39.171,Sent,443
72.153.5.131,Sent,443
4.250.18.209,Sent,443
52.168.112.67,Sent,443
51.132.193.105,Sent,443
13.89.179.11,Sent,443
51.116.253.168,Sent,443
13.69.239.79,Sent,443
20.189.173.23,Sent,443
52.167.17.97,Sent,443
104.46.162.226,Sent,443
52.182.143.211,Sent,443
20.42.65.93,Sent,443
51.11.192.50,Sent,443
40.79.141.154,Sent,443
51.116.246.104,Sent,443
20.189.173.9,Sent,443
20.42.73.27,Sent,443
52.183.220.149,Sent,443
20.50.80.210,Sent,443
52.182.143.209,Sent,443
13.56.121.58,Sent,443
52.182.143.214,Sent,443
54.67.114.188,Sent,443
20.189.173.27,Sent,443
40.79.141.152,Sent,443
192.168.2.118,Received,8530
192.168.148.111,Received,256
192.168.148.111,Received,22
192.168.148.111,Received,23
192.168.148.111,Received,445
192.168.148.111,Received,21
192.168.2.13,Received,8530
192.168.9.223,Received,8530
192.168.2.12,Received,8530
192.168.147.146,Received,135
192.168.147.146,Received,27
192.168.147.146,Received,445
192.168.115.146,Received,135
192.168.115.146,Received,445
192.168.147.57,Received,8530
