Peer IP,Direction,Destination Port
192.168.147.37,Sent,10051
192.168.9.115,Sent,10050
192.168.9.141,Sent,10050
192.168.15.51,Sent,10050
192.168.15.38,Sent,10050
192.168.9.81,Sent,10050
192.168.15.13,Sent,10050
192.168.9.223,Sent,10050
192.168.9.80,Sent,10050
192.168.9.33,Sent,443
192.168.2.117,Sent,10050
192.168.9.235,Sent,1
192.168.9.235,Sent,2
192.168.9.235,Sent,6
192.168.9.235,Sent,8
192.168.9.235,Sent,3
192.168.9.235,Sent,0
192.168.9.235,Sent,5
192.168.9.235,Sent,12
192.168.9.237,Sent,2
192.168.9.237,Sent,1
192.168.9.237,Sent,15
192.168.9.237,Sent,9
192.168.9.237,Sent,3
192.168.9.237,Sent,4
192.168.9.237,Sent,0
192.168.9.237,Sent,7
192.168.9.237,Sent,5
192.168.9.234,Sent,2
192.168.9.234,Sent,1
192.168.9.234,Sent,8
192.168.9.234,Sent,4
192.168.9.234,Sent,0
192.168.9.234,Sent,14
192.168.9.236,Sent,1
192.168.9.236,Sent,2
192.168.9.236,Sent,13
192.168.9.236,Sent,6
192.168.9.236,Sent,3
192.168.9.236,Sent,4
192.168.9.236,Sent,0
192.168.9.236,Sent,7
192.168.9.236,Sent,5
152.67.141.210,Sent,17472
185.125.190.56,Sent,123
146.75.74.49,Sent,443
169.254.169.254,Sent,80
185.125.188.54,Sent,443
185.125.188.58,Sent,443
185.125.188.57,Sent,443
54.247.62.1,Sent,443
185.125.190.82,Sent,80
178.128.6.101,Sent,443
185.125.190.75,Sent,443
54.171.230.55,Sent,443
54.217.10.153,Sent,443
185.125.188.59,Sent,443
34.243.160.129,Sent,443
185.125.190.18,Sent,443
185.125.190.81,Sent,80
91.189.91.47,Sent,443
34.254.182.186,Sent,443
185.125.190.57,Sent,123
185.125.190.24,Sent,443
192.168.4.162,Received,37348
192.168.4.162,Received,44616
192.168.4.162,Received,56438
192.168.4.162,Received,46176
192.168.4.162,Received,42318
192.168.4.162,Received,49944
192.168.4.162,Received,46582
192.168.4.162,Received,47732
192.168.4.162,Received,46940
192.168.4.162,Received,41806
192.168.4.162,Received,40006
192.168.4.162,Received,34528
192.168.4.162,Received,49826
192.168.4.162,Received,37108
192.168.4.162,Received,58210
192.168.4.162,Received,39426
192.168.4.162,Received,42246
192.168.4.162,Received,55626
192.168.4.162,Received,33968
192.168.4.162,Received,32908
192.168.4.162,Received,52250
192.168.4.162,Received,54864
192.168.4.162,Received,48796
192.168.4.162,Received,58476
192.168.4.162,Received,44730
192.168.4.162,Received,48408
192.168.4.162,Received,44204
192.168.4.162,Received,53988
192.168.4.162,Received,35918
192.168.4.162,Received,54980
192.168.4.162,Received,37994
192.168.4.162,Received,33130
192.168.4.162,Received,45770
192.168.4.162,Received,39010
192.168.4.162,Received,58006
192.168.4.162,Received,38258
192.168.4.162,Received,50114
192.168.4.162,Received,55988
192.168.4.162,Received,34198
192.168.4.162,Received,51934
192.168.4.162,Received,45264
192.168.4.162,Received,33070
192.168.4.162,Received,55822
192.168.4.162,Received,52522
192.168.4.162,Received,45702
192.168.4.162,Received,45446
192.168.4.162,Received,34962
192.168.4.162,Received,57460
192.168.4.162,Received,48892
192.168.4.162,Received,48970
192.168.4.162,Received,56594
192.168.4.162,Received,41758
192.168.4.162,Received,38034
192.168.4.162,Received,47042
192.168.4.162,Received,48886
192.168.4.162,Received,42064
192.168.4.162,Received,37132
192.168.4.162,Received,42060
192.168.4.162,Received,35454
192.168.4.162,Received,52872
192.168.4.162,Received,57304
192.168.4.162,Received,59026
192.168.4.162,Received,46230
192.168.4.162,Received,52798
192.168.4.162,Received,51692
192.168.4.162,Received,44084
192.168.4.162,Received,49588
192.168.4.162,Received,35762
192.168.4.162,Received,40654
192.168.4.162,Received,47208
192.168.4.162,Received,45088
192.168.4.162,Received,57054
192.168.4.162,Received,46496
192.168.4.162,Received,57272
192.168.4.162,Received,58140
192.168.4.162,Received,58306
192.168.4.162,Received,45386
192.168.4.162,Received,58552
192.168.4.162,Received,50972
192.168.4.162,Received,42200
192.168.4.162,Received,53528
192.168.4.162,Received,33776
192.168.4.162,Received,54430
192.168.4.162,Received,60520
192.168.4.162,Received,59728
192.168.4.162,Received,42820
192.168.4.162,Received,60500
192.168.4.162,Received,47134
192.168.4.162,Received,37592
192.168.4.162,Received,54308
192.168.4.162,Received,45408
192.168.4.162,Received,46476
192.168.4.162,Received,41132
192.168.4.162,Received,53992
192.168.4.162,Received,40918
192.168.4.162,Received,44352
192.168.4.162,Received,39076
192.168.4.162,Received,47124
192.168.4.162,Received,49064
192.168.4.162,Received,56912
192.168.4.162,Received,40146
192.168.4.162,Received,33390
192.168.4.162,Received,39968
192.168.4.162,Received,50970
192.168.4.162,Received,53454
192.168.4.162,Received,44648
192.168.4.162,Received,49958
192.168.4.162,Received,42218
192.168.4.162,Received,44044
192.168.4.162,Received,37650
192.168.4.162,Received,37240
192.168.4.162,Received,39790
192.168.4.162,Received,41214
192.168.4.162,Received,45012
192.168.4.162,Received,54952
192.168.4.162,Received,39510
192.168.4.162,Received,49336
192.168.4.162,Received,49132
192.168.4.162,Received,45970
192.168.4.162,Received,51768
192.168.4.162,Received,46100
192.168.4.162,Received,50404
192.168.4.162,Received,35770
192.168.4.162,Received,40584
192.168.4.162,Received,33272
192.168.4.162,Received,54566
