Peer IP,Direction,Destination Port
217.114.59.66,Sent,123
152.67.141.210,Sent,17472
83.151.207.133,Sent,123
185.83.169.27,Sent,123
131.111.8.61,Sent,123
172.66.0.26,Sent,443
162.159.140.26,Sent,443
10.139.2.40,Sent,443
209.132.178.16,Sent,443
136.226.169.236,Sent,443
136.226.167.252,Sent,443
165.225.199.242,Sent,443
194.9.109.247,Sent,443
147.161.143.245,Sent,443
147.161.143.242,Sent,443
165.225.197.249,Sent,443
165.225.197.248,Sent,443
172.232.45.6,Sent,443
95.101.84.251,Sent,443
165.225.17.241,Sent,443
169.254.169.254,Sent,80
54.67.108.17,Sent,443
193.0.14.129,Sent,53
192.203.230.10,Sent,53
192.5.5.241,Sent,53
199.7.91.13,Sent,53
165.225.197.251,Sent,443
95.101.87.181,Sent,443
146.75.74.49,Sent,443
89.187.167.41,Sent,443
165.225.197.252,Sent,443
194.72.254.216,Sent,443
165.225.17.240,Sent,443
165.225.197.254,Sent,443
212.250.153.81,Sent,443
192.58.128.30,Sent,53
199.9.14.201,Sent,53
192.33.4.12,Sent,53
165.225.17.239,Sent,443
89.187.167.39,Sent,443
165.225.197.253,Sent,443
165.225.17.242,Sent,443
84.17.50.9,Sent,443
194.72.254.217,Sent,443
13.56.121.58,Sent,443
54.67.122.238,Sent,443
147.161.237.248,Sent,443
194.9.109.248,Sent,443
147.161.237.252,Sent,443
136.226.169.245,Sent,443
136.226.167.242,Sent,443
165.225.197.243,Sent,443
198.97.190.53,Sent,53
147.161.143.240,Sent,443
136.226.167.233,Sent,443
165.225.199.250,Sent,443
170.85.63.249,Sent,443
147.161.145.249,Sent,443
89.187.167.42,Sent,443
170.85.63.252,Sent,443
194.9.111.248,Sent,443
136.226.167.245,Sent,443
170.85.63.253,Sent,443
194.9.109.241,Sent,443
165.225.17.253,Sent,443
165.225.17.248,Sent,443
54.67.119.89,Sent,443
193.150.34.2,Sent,123
178.62.250.107,Sent,123
93.93.131.118,Sent,123
139.162.219.252,Sent,123
212.250.153.80,Sent,443
165.225.199.248,Sent,443
136.226.169.248,Sent,443
165.225.197.241,Sent,443
165.225.17.251,Sent,443
165.225.17.254,Sent,443
136.226.169.254,Sent,443
54.67.26.184,Sent,443
193.57.144.50,Sent,123
131.111.8.60,Sent,123
85.199.214.101,Sent,123
54.183.135.80,Sent,443
52.8.141.1,Sent,443
54.67.114.188,Sent,443
54.67.33.233,Sent,443
192.168.148.111,Received,22
192.168.148.111,Received,23
192.168.148.111,Received,21
192.168.148.111,Received,445
192.168.148.111,Received,256
