Peer IP,Direction,Destination Port
192.168.4.102,Sent,53
10.0.1.20,Sent,53
10.0.129.20,Sent,53
192.168.4.248,Sent,24806
192.168.4.248,Sent,36812
192.168.4.248,Sent,36811
192.168.4.248,Sent,33171
192.168.4.248,Sent,31131
192.168.4.248,Sent,24805
192.168.4.102,Received,49415
192.168.4.102,Received,57674
192.168.4.102,Received,55135
192.168.4.102,Received,62914
192.168.4.102,Received,56249
192.168.4.102,Received,53418
192.168.4.102,Received,63869
192.168.4.102,Received,61319
192.168.4.102,Received,59247
192.168.4.102,Received,49463
192.168.4.102,Received,64433
192.168.4.102,Received,60570
192.168.4.102,Received,52263
192.168.4.102,Received,65214
192.168.4.102,Received,60764
192.168.4.102,Received,54608
192.168.4.102,Received,59334
192.168.4.102,Received,49475
192.168.4.102,Received,57176
192.168.4.102,Received,62621
192.168.4.102,Received,52233
192.168.4.102,Received,60366
192.168.4.102,Received,58821
192.168.4.102,Received,52496
192.168.4.102,Received,58723
192.168.4.102,Received,64445
192.168.4.102,Received,60497
192.168.4.102,Received,56561
192.168.4.102,Received,59534
192.168.4.102,Received,53672
192.168.4.102,Received,58394
192.168.4.102,Received,49508
192.168.4.102,Received,56045
192.168.4.102,Received,50714
192.168.4.102,Received,60346
192.168.4.102,Received,56913
192.168.4.102,Received,49221
192.168.4.102,Received,51831
192.168.4.102,Received,56973
192.168.4.102,Received,62015
192.168.4.102,Received,61578
192.168.4.102,Received,56001
192.168.4.102,Received,60890
192.168.4.102,Received,63167
192.168.4.102,Received,56225
192.168.4.102,Received,65517
192.168.4.102,Received,58794
192.168.4.102,Received,55640
192.168.4.102,Received,57949
192.168.4.102,Received,64577
192.168.4.102,Received,63992
192.168.4.102,Received,57425
192.168.4.102,Received,56961
192.168.4.102,Received,54847
192.168.4.102,Received,51888
192.168.4.102,Received,64879
192.168.4.102,Received,55929
192.168.4.102,Received,52536
192.168.4.102,Received,58717
192.168.4.102,Received,59452
192.168.4.102,Received,56998
192.168.4.102,Received,52951
192.168.4.102,Received,62442
192.168.4.102,Received,59615
192.168.4.102,Received,52803
192.168.4.102,Received,58555
192.168.4.102,Received,62155
192.168.4.102,Received,54921
192.168.4.102,Received,57818
192.168.4.102,Received,51764
192.168.4.102,Received,64945
192.168.4.102,Received,56940
192.168.4.102,Received,62722
192.168.4.102,Received,50360
192.168.4.102,Received,59215
192.168.4.102,Received,58766
192.168.4.102,Received,50547
192.168.4.102,Received,57240
192.168.4.102,Received,60235
192.168.4.102,Received,50693
192.168.4.102,Received,58967
192.168.4.102,Received,55492
192.168.4.102,Received,61392
192.168.4.102,Received,56997
192.168.4.102,Received,51763
192.168.4.102,Received,58465
192.168.4.102,Received,64693
192.168.4.102,Received,51058
192.168.4.102,Received,51722
192.168.4.102,Received,60073
192.168.4.102,Received,56268
192.168.4.102,Received,63287
