Peer IP,Direction,Destination Port
10.0.1.20,Sent,53
192.168.4.102,Sent,53
10.0.129.20,Sent,53
192.168.4.248,Sent,25895
192.168.4.248,Sent,32040
192.168.4.248,Sent,50208
192.168.4.248,Sent,13326
192.168.4.248,Sent,25896
192.168.4.248,Sent,57184
192.168.4.248,Sent,50207
192.168.4.248,Sent,19973
192.168.4.248,Sent,57185
192.168.4.248,Sent,19974
192.168.4.248,Sent,32905
192.168.4.102,Received,57674
192.168.4.102,Received,56249
192.168.4.102,Received,62914
192.168.4.102,Received,59494
192.168.4.102,Received,61319
192.168.4.102,Received,51726
192.168.4.102,Received,59247
192.168.4.102,Received,52719
192.168.4.102,Received,49463
192.168.4.102,Received,64433
192.168.4.102,Received,62870
192.168.4.102,Received,54608
192.168.4.102,Received,61694
192.168.4.102,Received,49475
192.168.4.102,Received,54865
192.168.4.102,Received,62621
192.168.4.102,Received,52233
192.168.4.102,Received,58821
192.168.4.102,Received,52496
192.168.4.102,Received,58723
192.168.4.102,Received,60497
192.168.4.102,Received,56561
192.168.4.102,Received,57659
192.168.4.102,Received,49508
192.168.4.102,Received,53979
192.168.4.102,Received,50714
192.168.4.102,Received,56913
192.168.4.102,Received,62015
192.168.4.102,Received,56001
192.168.4.102,Received,63167
192.168.4.102,Received,56225
192.168.4.102,Received,60441
192.168.4.102,Received,51627
192.168.4.102,Received,58794
192.168.4.102,Received,52530
192.168.4.102,Received,49179
192.168.4.102,Received,57949
192.168.4.102,Received,64577
192.168.4.102,Received,57736
192.168.4.102,Received,59465
192.168.4.102,Received,62195
192.168.4.102,Received,51888
192.168.4.102,Received,54646
192.168.4.102,Received,52951
192.168.4.102,Received,62442
192.168.4.102,Received,52135
192.168.4.102,Received,58555
192.168.4.102,Received,62155
192.168.4.102,Received,57818
192.168.4.102,Received,53287
192.168.4.102,Received,49807
192.168.4.102,Received,59528
192.168.4.102,Received,64847
192.168.4.102,Received,63435
192.168.4.102,Received,58766
192.168.4.102,Received,50547
192.168.4.102,Received,62724
192.168.4.102,Received,56571
192.168.4.102,Received,60235
192.168.4.102,Received,57550
192.168.4.102,Received,55492
192.168.4.102,Received,56997
192.168.4.102,Received,64693
192.168.4.102,Received,51722
192.168.4.102,Received,60073
192.168.4.102,Received,56268
192.168.4.102,Received,63542
192.168.4.102,Received,63401
192.168.4.102,Received,50945
192.168.4.102,Received,56803
192.168.4.102,Received,52515
192.168.4.102,Received,64867
192.168.4.102,Received,64956
192.168.4.102,Received,62218
192.168.4.102,Received,59484
192.168.4.102,Received,55495
192.168.4.102,Received,50035
192.168.4.102,Received,54840
192.168.4.102,Received,51752
192.168.4.102,Received,60120
192.168.4.102,Received,60267
192.168.4.102,Received,56839
192.168.4.102,Received,52403
192.168.4.102,Received,50579
192.168.4.102,Received,60001
192.168.4.102,Received,53584
192.168.4.102,Received,62499
192.168.4.102,Received,63973
192.168.4.102,Received,64984
192.168.4.102,Received,64774
192.168.4.102,Received,64989
192.168.4.102,Received,53829
192.168.4.102,Received,56852
192.168.4.102,Received,65181
192.168.4.102,Received,57095
192.168.4.102,Received,57368
192.168.4.102,Received,57576
192.168.4.102,Received,55368
192.168.4.102,Received,64561
192.168.4.102,Received,49546
192.168.4.102,Received,61869
192.168.4.102,Received,50241
192.168.4.102,Received,53648
192.168.4.102,Received,58086
192.168.4.102,Received,64118
192.168.4.102,Received,59265
192.168.4.102,Received,64894
