Peer IP,Direction,Destination Port
192.168.4.248,Received,9001
192.168.4.248,Received,2869
192.168.4.248,Received,1029
192.168.4.248,Received,53
192.168.4.248,Received,1025
192.168.4.248,Received,9100
192.168.4.248,Received,21
192.168.4.248,Received,161
192.168.4.248,Received,445
192.168.4.248,Received,5000
192.168.4.248,Received,497
192.168.4.248,Received,49000
192.168.4.248,Received,135
192.168.4.248,Received,22
192.168.4.248,Received,139
192.168.4.248,Received,111
192.168.4.248,Received,1028
192.168.4.248,Received,26203
192.168.4.248,Received,548
192.168.4.248,Received,80
192.168.4.248,Received,36624
192.168.4.248,Received,515
192.168.4.248,Received,25
192.168.4.248,Received,993
192.168.4.248,Received,6000
192.168.4.248,Received,79
192.168.4.248,Received,443
