Peer IP,Direction,Destination Port
192.168.4.102,Sent,53
10.0.1.20,Sent,53
10.0.129.20,Sent,53
192.168.4.248,Sent,11282
192.168.4.248,Sent,4319
192.168.4.248,Sent,13502
192.168.4.248,Sent,4320
192.168.4.248,Sent,51096
192.168.4.248,Sent,45018
192.168.4.248,Sent,13286
192.168.4.248,Sent,11283
192.168.4.248,Sent,8350
192.168.4.248,Sent,51097
192.168.4.248,Sent,13501
192.168.4.102,Received,49415
192.168.4.102,Received,50221
192.168.4.102,Received,53617
192.168.4.102,Received,65365
192.168.4.102,Received,53431
192.168.4.102,Received,52263
192.168.4.102,Received,62870
192.168.4.102,Received,65214
192.168.4.102,Received,52233
192.168.4.102,Received,59534
192.168.4.102,Received,64042
192.168.4.102,Received,53672
192.168.4.102,Received,58394
192.168.4.102,Received,56045
192.168.4.102,Received,57507
192.168.4.102,Received,60346
192.168.4.102,Received,51831
192.168.4.102,Received,56001
192.168.4.102,Received,60890
192.168.4.102,Received,58794
192.168.4.102,Received,57949
192.168.4.102,Received,61531
192.168.4.102,Received,50980
192.168.4.102,Received,62195
192.168.4.102,Received,54267
192.168.4.102,Received,51888
192.168.4.102,Received,56325
192.168.4.102,Received,52536
192.168.4.102,Received,62909
192.168.4.102,Received,59615
192.168.4.102,Received,57818
192.168.4.102,Received,53287
192.168.4.102,Received,49807
192.168.4.102,Received,63649
192.168.4.102,Received,64945
192.168.4.102,Received,56940
192.168.4.102,Received,58995
192.168.4.102,Received,64272
192.168.4.102,Received,59215
192.168.4.102,Received,62724
192.168.4.102,Received,57240
192.168.4.102,Received,60235
192.168.4.102,Received,51259
192.168.4.102,Received,57432
192.168.4.102,Received,58967
192.168.4.102,Received,54901
192.168.4.102,Received,64693
192.168.4.102,Received,51722
192.168.4.102,Received,63287
192.168.4.102,Received,64946
192.168.4.102,Received,56803
192.168.4.102,Received,52515
192.168.4.102,Received,58066
192.168.4.102,Received,64867
192.168.4.102,Received,54302
192.168.4.102,Received,60467
192.168.4.102,Received,51533
192.168.4.102,Received,50138
192.168.4.102,Received,61270
192.168.4.102,Received,56136
192.168.4.102,Received,51752
192.168.4.102,Received,63786
192.168.4.102,Received,49185
192.168.4.102,Received,56664
192.168.4.102,Received,65072
192.168.4.102,Received,58393
192.168.4.102,Received,64989
192.168.4.102,Received,57970
192.168.4.102,Received,63693
192.168.4.102,Received,56689
192.168.4.102,Received,55383
192.168.4.102,Received,58545
192.168.4.102,Received,57095
192.168.4.102,Received,49791
192.168.4.102,Received,50850
192.168.4.102,Received,52333
192.168.4.102,Received,58742
192.168.4.102,Received,60024
192.168.4.102,Received,50241
192.168.4.102,Received,60115
192.168.4.102,Received,53648
192.168.4.102,Received,54130
192.168.4.102,Received,58086
192.168.4.102,Received,53107
192.168.4.102,Received,59265
192.168.4.102,Received,60304
